article id	author	year	title	journal/conference/collection	abstract	reference IDs	isDHQ
force11	Bourne, P.E. | Clark, T. | Dale, R. | de Waard, A. | Herman, I. | Hovy, E.H. | Shotton, D.	2012	Force11 White Paper: Improving The Future of Research Communications and e-Scholarship.				0
ford1980	Ford, Hugh	1980	Published In Paris: American and British Printers, and Publishers in Paris, 1920-1939				0
ford1987	Ford, Hugh	1987	Four Lives in Paris				0
formigari2001	Formigari, L.	2001	Il linguaggio. Storia delle idee.				0
forster2010	Forster, Chris	2010	I’m Chris. Where Am I Wrong?.	HASTAC Blog			0
foss2007	Foss, Pedar | Schindler, Rebecca	2007	MAGIS: Mediterranean Archaeological GIS				0
foster1996	Foster, Hal	1996	Return of the Real: The Avant-Garde at the End of the Century				0
foster1999	Foster, Ian | Kesselman, Carl	1999	The Grid: Blueprint for a New Computing Infrastructure				0
foster2009	Foster, Ian	2009	eScience and Cloud Computing	American Association for the Advancement of Science			0
foucault1970	Foucault, Michel	1970	The Order of Things: An Archaeology of the Human Sciences				0
foucault1972	Foucault, Michel	1972	The Archaeology of Knowledge.				0
foucault1979	Foucault, Michel	1979	Discipline and Punish				0
foucault1980	Foucault, Michel	1980	The Politics of Health in the Eighteenth Century.	Power/Knowledge			0
foucault1982	Foucault, Michel	1982	The Archaeology of Knowledge and the Discourse on Language.				0
foucault1984	Foucault, Michel	1984	On the Genealogy of Ethics.	The Foucault Reader			0
foucault1990	Foucault, Michel	1990	Right of Death and Power over Life.	History of Sexuality Volume 1			0
foundation2005	National Science Foundation	2005	NSF’s Cyberinfrastructure Vision for 21st Century Discovery,				0
fox2002a	Fox, Patricia D.	2002	What Are Topic Maps?				0
fox2006	Fox, Patricia D.	2006	Being and Blackness in Latin America: Uprootedness and Improvisation				0
foys2007	Foys, Martin K.	2007	Virtually Anglo-Saxon: Old Media, New Media, and Early Medieval Studies in the Late Age of Print				0
fraiman2008	Fraiman, Susan	2008	In Search of Our Mothers’ Gardens — With Help from a New Digital Resource for Literary Scholars,	Modern Philology			0
fraistat2012	Fraistat, N.	2012	The Function of Digital Humanities Centers at the Present Time	Debates in the Digital Humanities			0
franklin2001	Franklin, James	2001	The Science of Conjecture: Evidence and Probability before Pascal				0
franklin2008	Franklin, Kevin | Rodriguez, Karen	2008	The Next Big Thing in Humanities, Arts and Social Science Computing: Cultural Analytics.	HPCwire			0
frasca2003	Frasca, G.	2003	Ludologists Love Stories, Too: Notes from a Debate That Never Took Place	Level Up Conference 2003			0
fraser2005	Fraser, Michael	2005	Virtual Research Environments: Overview and Activity	Ariadne			0
fraser2009	Fraser, Nancy	2009	Feminism, Capitalism, and the Cunning of History.	New Left Review			0
freeman1975	Freeman, Joseph P.	1975	CRF Personnel Manual: Central Kentucky Karst Area				0
french2009a	French, Amanda	2009	Make 10 louder, or, the amplification of scholarly communication				0
french2009b	French, Amanda	2009	Where Marketers Would Never Want to Tamper				0
freshwater2003	Freshwater, Helen	2003	The Allure of the Archive	Poetics Today,			0
freud1904	Freud, Sigmund	n.d.	Freud’s Psycho-analytic Procedure,	Freud 1955–66			0
freud1909	Freud, Sigmund	n.d.	Notes Upon a Case of Obsessional Neurosis,	Freud 1955–66			0
freud1915	Freud, Sigmund	n.d.	Repression,	Freud 1955–66			0
freud1917	Freud, Sigmund	n.d.	A Difficulty in the Path of Psycho-analysis,	Freud 1955–6			0
freud1937	Freud, Sigmund	n.d.	Analysis Terminable and Interminable,	Freud 1955–6			0
freud1955	Freud, Sigmund | Strachey, J.	1955	Standard Edition of the Complete Psychological Works of Sigmund Freud				0
freud1965	Freud, Sigmund	1965	The Interpretation of Dreams				0
freund1840	Freund, Wilhelm	1840	Wörterbuch der lateinischen Sprache: nach historisch-genetischen Principien, mit steter Berücksichtigung der Grammatik, Synonymik und Alterthumskunde				0
friedberg2006	Friedberg, Anne	2006	The Virtual Window: From Alberti to Microsoft				0
friedman1995	Friedman, T.	1995	Making Sense of Software: Computer Games and Interactive Textuality.	CyberSociety: Computer-Mediated Communication and Community			0
friedman2005	Friedman, Thomas	2005	The World is Flat: A Brief History of the Twenty–first Century				0
friesen2009	Friesen, Norm | Hug, Theo	2009	The Mediatic Turn: Exploring Consequences for Media Pedagogy.	Mediatization: Concept, Changes, Consequences.			0
frost1942	Frost, Robert	1942	Death of the Hired Man.	Collected Poems of Robert Frost			0
fry2000	Fry, P.H.	2000	I.A. Richards,	The Cambridge History of Literary Criticism: Modernism and the New Criticism			0
frye1957	Frye, N.	1957	Anatomy of Criticism: Four Essays				0
fuchs1961	Fuchs, Daniel	1961	Summer in Williamsburg				0
fuchs1972	Fuchs, R.H.	1972	Henri van de Waal, 1910-1972	Simiolus: Netherlands Quarterly for the History of Art			0
fulbrook2002	Fulbrook, Mary	2002	Historical Theory				0
fuller2003a	Fuller, Matthew	2003	Behind The Blip				0
fuller2008	Fuller, Matthew	2008	Software Studies: A Lexicon				0
fullerton2008	Fullerton, T.	2008	Documentary Games: Putting the Player in the Path of History.	Playing the Past: Nostalgia in Video Games and Electronic Literature			0
fulton2011	Fulton, John	2011	Power Reader. (Infomercial)	Post on Amazon.com Customer Reviews of Ur			0
funkhouser2007	Funkhouser, Chris	2007	Prehistoric Digital Poetry: An Archaeology of Forms, 1959-1995				0
funkhouser2008	Funkhouser, C.	2008	The Scope for a Reader: the Poetry of Text Generators,	Dichtung Digital			0
funkhouser2012	Funkhouser, C.T.	2012	New Directions in Digital Poetry.				0
fure2000	Fure, Eli	2000	Interactive Record Linkage: The Cumulative Construction of Life Courses	Demographic Research			0
fussell1960	Fussell, Edwin	1950	Winesburg, Ohio: Art and Isolation.	Modern Fiction Studies			0
graham1991	Graham, David	1991	The Emblematic Hyperbook.	Hypermedia and Literary Studies			0
gabora1997a	Gabora, Liane	1997	Mind.	Handbook of Archaeological Theories			0
gabora1997b	Gabora, Liane	1997	The Origin and Evolution of Culture and Creativity.	Journal of Memetics: Evolutionary Models of Information Transmission			0
gaghan2005	Gaghan, Stephen	2005	Syriana				0
gailey-jewell2012	Gailey, Amanda | Jewell, Andrew	2012	Editor’s Introduction to the First Edition of Scholarly Editing.	Scholarly Editing			0
gailey2010	Gailey, Amanda	2010	Yale: the Past and the Future.	Humanist			0
gaiman	Amazon	n.d.	Neil Gaiman discusses Amazon Kindle.				0
gale1992a	Gale, William | Church, Kenneth W. | Yarowsky, David	1992	Using Bilingual Materials to Develop Word Sense Disambiguation Methods	Proceedings of the Fourth International Conference on Theoretical and Methodological Issues in Machine Translation			0
galeyandruecker2010	Galey, Alan | Ruecker, Stan	2010	How a Prototype Argues.	Literary and Linguistic Computing			0
galison1997	Galison, Peter	1997	Image and Logic: A Material Culture of Microphysics				0
gallix2008	Gallix, Andrew	2008	Is E-literature Just One Big Anti-Climax?	The Guardian Books Blog			0
gallop2007	Gallop, J.	2007	The Historicization of Literary Studies and the Fate of Close Reading,	Profession 2007			0
galloway2004	Galloway, Alexander R. | Thacker, Eugene	2004	Protocol, Control, and Networks.	The Grey Room			0
galloway2006a	Galloway, Alexander R.	2006	Gaming: Essays on Algorithmic Culture				0
galloway2006b	Galloway, Alexander	2006	Protocol: How Control Exists After Decentralization				0
galloway2007	Galloway, Alexander R. | Thacker, Eugene	2007	The Exploit: A Theory of Networks				0
galloway2010	Galloway, Anne	2010	Locating Media Futures in the Present; Or How to map Emergent Associations & Expectations,	Aether: The Journal of Media Geography			0
gamespy2002	GameSpy	2002	30 Most Influential People in Gaming #24: Will Crowther and Don Woods				0
gillogly1977	Gillogly, J.	1977	C Translation of Adventure				0
ganchev2007	Ganchev, Kuzman | Pereira, Fernando | Mandel, Mark | Carroll, Steven | White, Peter	2007	Semi-Automated Named Entity Annotation	Proceedings of the Linguistic Annotation Workshop			0
garciacanclini1990	García Canclini, Néstor	1990	Culturas Híbridas: Estrategias para Entrar y Salir de la Modernidad				0
garnham2000	Garnham, Nicholas	2000	Emancipation,the Media, and Modernity.				0
garrett2000	Garrett, Jesse James	2000	The Elements of Visual User Interface.				0
garrett2002	Garrett, Jesse James	2002	The Elements of User Experience: User-Centered Design for the Web.				0
garrett2003	Garrett, E. | Davies, R.	2003	Birth Spacing and Infant Mortality on the Isle of Skye, Scotland, in the 1880s; A Comparison with the Town of Ipswich, England	Local Population Studies			0
