article id	author	year	title	journal/conference/collection	abstract	reference IDs	isDHQ
11	"Anderson, Steve F."	2007	Aporias of the Digital Avant-Garde	Digital Humanities Quarterly	"This article maps two divergent trajectories within a narrowly defined sphere of short-form, time-based digital media created between 1995 and 2005. These works are considered in relation to the historical avant-garde - particularly the Structural film movement of the 1960s and 70s - and analyzed as responses to a range of cultural concerns specific to the digital age. The analysis identifies movement toward two terminal points: first, a mode of remix-based montage inspired by open source programming communities and peer-to- peer networks; and second, the emergence of a mode of imaging termed the digital analogue, which foregrounds the material basis of digital production."	bukatman2003 | cae2001 | cae2002 | crary1990 | darley2000 | enzensberger1974 | greenwald2004 | james1989 | kittler1999 | krauss1993 | lunenfeld2000 | manovich1999 | manovich2001 | marks2000 | nichols1991 | weibel2002 | willis2005	1
12	"Hoover, David"	2007	"The End of the Irrelevant Text: Electronic Texts, Linguistics, and Literary Theory"	Digital Humanities Quarterly	"The close study of literary texts has a long and illustrious history. But the popularity of textual analysis has waned in recent decades, just at the time that widely available electronic texts were making traditional analytic tools easier to apply and encouraging the development of innovative computer-assisted tools. Without claiming any simple causal relationship, I argue that the marginalization of textual analysis and other text-centered approaches owes something to the dominance of Chomskyan linguistics and the popularity of high theory. Certainly both an introspective, sentence-oriented, formalist linguistic approach and literary theories deeply influenced by ideas about the sign's instability and the tendency of texts to disintegrate under critical pressure minimize the importance of the text. Using examples from Noam Chomsky, Jerome McGann, and Stanley Fish, I argue for a return to the text, specifically the electronic, computable text, to see what corpora, text-analysis, statistical stylistics, and authorship attribution can reveal about meanings and style. The recent resurgence of interest in scholarly editions, corpora, text- analysis, stylistics, and authorship suggest that the electronic text may finally reach its full potential."	addison1694 | biber1995 | bnc2001 | boswell1791 | bosworth1898 | bradford1647 | burrows2002a | burrows2002b | burrows2007 | chomsky1975 | chomsky1986 | chomsky2000 | cooper1840 | davies2007b | dickens1858 | faulkner1978 | fish1980 | goldfield2006 | golding1955 | griffith1896 | halliday1981 | hoover1999 | hoover2004a | hoover2004b | hoover2004c | hoover2006 | hoover2007a | hume1748 | louw1993 | mcgann2004b | more1914 | morris1895 | pope1715 | sampson2005 | shillingsburg2006 | sinclair2003a | sinclair2004 | stubbs1996 | swift1726 | trillin1998	1
13	"Terras, Melissa"	2007	DHQ in the Public Eye	Digital Humanities Quarterly	This editorial reflects on developments to DHQ and the ways we can assess impact and readership.		1
14	"Priani SaisÃ_, Ernesto"	2007	Revista Digital Universitaria: A Workshop of Digital Editing at the Universidad Nacional AutÃ_noma de MÃ©xico	Digital Humanities Quarterly	The Revista Digital Universitaria (http://www.revista.unam.mx) at the Universidad Nacional AutÃ_noma de MÃ©xico (UNAM) is an experimental digital magazine that serves as a workshop of digital editing at the university. In this article its editor explores how its authors and producers have experimented with the form and content of the publication.		1
15	"Barnet, Belinda"	2008	The Technical Evolution of Vannevar Bushâ€™s Memex	Digital Humanities Quarterly	"This article describes the evolution of the design of Vannevar Bush's Memex, tracing its roots in Bush's earlier work with analog computing machines, and his understanding of the technique of associative memory. It argues that Memex was the product of a particular engineering culture, and that the machines that preceded Memex â€” the Differential Analyzer and the Selector in particular â€” helped engender this culture, and the discourse of analogue computing itself."	bagg1961 | beniger1986 | burke1991 | bush1928 | bush1991 | bush1939 | bush1945a | bush1991a | bush1963 | bush1991d | bush1991b | bush1970 | ceruzzi1998 | delanda1994 | dennett1993 | edwards1997 | eldredge2004 | engelbart1999 | farkas1990 | guattari1995 | gille1986 | hartree2000 | hatt1968 | hayles1993 | hayles1999 | hazen1940 | meyrowitz1991 | mindell2000 | nelson1991 | nelson1999 | nyce1991 | oren1991 | owens1991 | shurkin1996 | smith1991 | spar2001 | stiegler1998 | vandam1999 | weaver1950 | weaver1950a | wells1938 | ziman2003	1
16	"Cunningham, Richard | Duke, David | Eustace, John | Galway, Anna | Patterson, Erin"	2008	The Humanities HyperMedia Centre @ Acadia University: An Invitation to Think About Higher Education	Digital Humanities Quarterly	"With Humanities Computing and New Media identified as emerging fields of significant strength, it is time for well-funded and fully supported programs in Digital Humanities to be described, developed, and implemented in the university. This article is a description of an attempt to build such a program from the ground up, rather than from the top down. That is, the authors and others created a series of courses, both multi-disciplinary and disciplinary, a database, and a core course designed to make digital humanities a reality, even without having it certified as a program by the governing bodies of their faculty and university. In this article, the database and core course are described in some detail in order to offer what the authors believe to be worthwhile ideas to others who would advance the cause of digital humanities. The article concludes with some concrete suggestions on how to ensure support, to make faculty participation possible, to measure success, and to motivate students."	chambers2000 | csstc2006 | hayles2007a | quamen2008 | mla2006 | rockwell2004b | selber2004 | shapiro1996 | shapiro2001 | burnard2007a | warwick2006 | warwick2007 | willinsky2004	1
17	"Marino, Mark C."	2008	Review: The Electronic Literature Collection Volume I: A New Media Primer	Digital Humanities Quarterly		hayles2006 | hayles2007b | [unlisted] | hayles2008a | kendall2007a | montfort2007 | [unlisted] | rettberg2007 | strickland2007	1
18	"Tomaszek, Patricia"	2008	"Conference Review: Reading Digital Literature at Brown University, October 4-7, 2007."	Digital Humanities Quarterly		baetens2003 | murray1995 | peterson2006 | reas2007 | simanowski2007	1
19	"Nauta, Gerhard Jan"	2008	As You Can See: Applying Visual Collaborative Filtering to Works of Art	Digital Humanities Quarterly	"Art historically relevant visual knowledge can be deconstructed and the resulting components of this visual knowledge â€” visual discernments â€” lend themselves to be socially negotiated. Individual visual experts (like connoisseurs) do not share some grand and undividable cognitive cataloguing system; they are attentive to piecemeal visual discernments and the patterns in which these occur in reality. In conventional scholarly communication sophisticated tools to discuss perceptual patterns are lacking. This paper not only proposes a theoretical model of visual knowledge accumulation, but also describes a practical implementation, Art.Similarities, which is designed as a prototype of such a sophisticated tool. Using a custom-made interface it records visual behavior: the non-verbally expressed visual similarity judgments of distributed individuals. Users can be assigned to groups according to the qualities of their judgments. These qualities may be distilled from emerging similarity patterns. The implications of individual judgments in different user groups may vary considerably. Emerging patterns can be assessed both according to human analysis and statistical procedures. Most studies on art evaluation are attentive to either the characteristics of works, or the characteristics of observers. In this study both are considered as interdependent entities consistently."	aberer2004 | ahn2006 | attneave1950 | baca2005 | barrett1989 | batschmann1986 | bearman2005 | bra2004 | bush1945 | chen2005 | eakins1999 | elkins1999 | finch1974 | goodman1988 | heylighen1999 | huijsmans1999 | hutchins1995 | peter2000 | jorgensen1999 | kirsch1984 | loran2006 | lynch2001 | nauta1993 | nauta2001 | oreilly2006 | panofsky1970 | ross2004 | salomon1996 | santini2001 | shatfordlayne2002 | sierra2007 | stahl2006 | stubenrauch1993 | tufte1998 | unsworth2001 | vygotsky1976 | wenger2002 | wolfflin1950 | wyman2006	1
20	"Piez, Wendell"	2008	Something Called Digital Humanities	Digital Humanities Quarterly	"Are the Digital Humanities only a concession to fashion, and as such a sign of decline? A professor of English, off the cuff and online, suggests as much, but there is reason to wonder."		1
21	"Crane, Gregory | Seales, Brent | Terras, Melissa"	2009	Acknowledgements and Dedications	Digital Humanities Quarterly	"This collection of essays represent a wide range of perspectives on the work being done in digital classics. It honors the life of Allen Ross Scaife, who was instrumental in advancing digital scholarship in the field of classics."		1
22	"Porter, Dot"	2009	Ross Scaife (1960-2008)	Digital Humanities Quarterly			1
23	"Crane, Gregory | Seales, Brent | Terras, Melissa"	2009	Cyberinfrastructure for Classical Philology	Digital Humanities Quarterly	"No humanists have moved more aggressively in the digital world than students of the Greco-Roman world but the first generation of digital classics has seen relatively superficial methods to address the problems of print culture. We are now beginning to see new intellectual practices for which new terms, eWissenschaft and eClassics, and a new cyberinfrastructure are emerging."	unsworth2006 | agosti2007 | arms2007 | audenaert2008 | bamman2006 | bamman2007 | bia2006 | bl2008 | blanke2006 | borin2007 | boschetti2007 | bradley2008c | buckland2007 | busa1974 | busa1980 | cantara2006 | chi2007 | cosley2006 | crane2005 | crane2006e | crane2007 | crane2006d | crane2006c | crane2000 | csomai2006 | culotta2005 | dalbello2006 | dekhytar2006 | dimitriadis2006 | don2007 | elings2007 | fitzpatrick2007 | ganchev2007 | garrett2006b | gatos2006 | geleijnse2007 | genereux2006 | gietz2006 | gold2007 | heilman2008 | hockxyu2006 | hyman2008 | jones2007 | kelly2006 | kirschenbaum2007a | kolak2008 | kraft2005 | krowne2003 | lagoze2006 | lally2007 | lu2008 | luce2008 | marshall2008 | moalla2006 | monroy2007 | plaisant2006 | ponzetto2007 | porter2006 | pritchard2008 | robinson2005b | robinson2000 | zafrin2005 | romanello2008 | rosenzweig2006 | sankar2006 | schilit2008 | schroeter2007 | shirky2008a | simeoni2007 | smith2001 | sperberg1994 | grover2008 | trnkoczy2006 | united1880 | vandenbranden2007 | vangendt2006 | veltman1999 | vlachos2006	1
24	"Blackwell, Christopher | Martin, Thomas R."	2009	"Technology, Collaboration, and Undergraduate Research"	Digital Humanities Quarterly	"In this article, two professors of Classics present their experiences in incorporating into their professional activity a model of undergraduate research that reflects Ross Scaifeâ€™s ideals of collaborative, open scholarship, informed by traditional values, and taking advantage of advances in digital humanities"	allen1889a | allen1889b | allen1889c | allen1890a | allen1890b | allen1896 | allen1899 | allen1900 | allen1902 | allen1904 | allen1907 | allen1931 | blackwell2004 | cartledge1985 | comparetti1901 | crane1996 | christesen2007 | elliott | finkel2001 | grobman2007 | hanlon2005 | hu2007 | ishiyama2002 | jacoby2004 | kinkead2003 | lopatto2006 | mahaffy1881 | mahoney2003 | malachowski2003 | merkel2003 | mcdorman2004 | nagy2004b | norcia2008 | oates | hornblower1996 | pleasant2003 | robillard2006 | roger2003 | sperberg2002a | stephens2005 | tei2004 | thomas2008 | versnel1992 | willison2007 | wilson2003a	1
25	"Mahoney, Anne"	2009	Tachypaedia Byzantina: The Suda On Line as Collaborative Encyclopedia	Digital Humanities Quarterly	"The Suda On Line (SOL) is a collaborative translation of a Byzantine Greek encyclopedia. It makes this difficult but useful text available to non-specialists and, with annotations and search facilities, makes the Suda easier to use than it is in print. As a collaboration, SOL demonstrates open peer review and the feasibility of a large, but closely focused, humanities project."	adler1938 | boyer1990 | cancick2002 | damrosch2006 | dickey2007 | dionisotti1990 | finkel2000 | shuttleworthkraus2002 | henderson1998 | herrin1996 | hornblower1996 | macdowell1995 | mccarty2002 | most1999 | pfeiffer1999 | reynolds1991 | rydbergcox2006 | winchester2003 | zecchini1999	1
26	"Robertson, Bruce"	2009	Exploring Historical RDF with Heml	Digital Humanities Quarterly	"The Web, though full of historical information, lacks a means of organizing that information, searching on it or visualizing it. The Historical Event Markup and Linking Project (Heml) was begun six years ago to explore how disparate historical materials on the Internet can be navigated and visualized, and for the past four years has used an XML data format defined in W3C Schemas. This format aims for conforming data that can be quickly parsed but provide a variety of facets on which to search for historical materials. While the project's graphical visualizations are in some respects successful, they have revealed some deficiencies in the underlying data format: it ought to provide for nested events, it ought to represent relations of causality between events and it ought to express the varieties of scholarly opinion about the attributes of events. By encoding the Heml data in the Resource Description Framework (RDF) it is possible to undertake these improvements. Moreover, an RDF-encoded Heml process provides easier access to CIDOC-CRM data into Heml events. Finally, a historical RDF language would simplify the discovery of references to historical events in digitized texts, thereby automating a growing network of historical information on the Web."	allen1983 | carrera2002 | carrera2005 | clark1992a | crane2006f | drucker2004 | nakahira2007 | robertson2002 | robertson2004 | robertson2006 | smith2002a | thaller1991	1
27	"Rydberg-Cox, Jeffrey A."	2009	"Digitizing Latin Incunabula: Challenges, Methods, and Possibilities"	Digital Humanities Quarterly	"Incunabula, or books printed before 1500, are extremely difficult and expensive to convert to digital form. The primary challenges arise from the use of non-standard typographical glyphs based on medieval handwriting to abbreviate words. Further difficulties are also posed by the practice of inconsistently marking word breaks at the end of lines and reducing or even eliminating spacing between some words. As such, these documents form a distinct genre of electronic document that poses unique challenges for conversion to digital form. From 2005â€“2007, the Preservation and Access Research and Development Program at the National Endowment for the Humanities funded a study to explore methods for digitizing these difficult texts. This paper describes some of the results of that project. The work described in this paper was completed by the Approaching the Problems of Digitizing Latin Incunables project funded by the National Endowment for the Humanities Division of Preservation and Access. The material in this paper is drawn from the project application, internal technical reports, grant project reports and the project descriptions included in and . Much of this work was inspired by Ross Scaife and his work building a corpora of Latin Colloquia. I am deeply grateful for Ross's comments, advice and support. A version of this paper will also be published as part of the project web site."	archimedes | googlebooks | crane1998 | crane1991 | bbc2005 | opencontent | pricewilkin1997 | archimedestemplates | reddy2006 | rydbergcox2003 | rydbergcox2005 | seattle2005	1
28	"Smith, Neel"	2009	Citation in Classical Studies	Digital Humanities Quarterly	"Citation practice reflects a model of a scholarly domain. This paper first considers traditional citation practice in the humanities as a description of our subjects of study. It then describes work at the Center for Hellenic Studies on an architecture for digital scholarship that is explicitly based on this model, and proposes a machine-actionable but technologically independent notation for citing texts, the Canonical Text Services URN."	nagy2004a | dickey2007 | dindorf1875 | vanthiel	1
29	"DuÃ©, Casey | Ebbott, Mary"	2009	Digital Criticism: Editorial Standards for the Homer Multitext	Digital Humanities Quarterly	"In this article we argue for the necessity of a digital edition to most accurately represent the textual tradition of the Homeric epics and to better understand the oral performance tradition that created the poems. We demonstrate how such a digital criticism would differ from the traditional textual criticism as practiced for editions in print and suggest how a digital criticism might open new avenues for the interpretation of the poetry. In defining our needs and goals for a digital edition, we discuss what our project has in common with other digital editions of literary works, but how the oral, traditional nature of the poetry creates special requirements as well. In addition to elaborating the editorial approach for the project, we reaffirm the principles of collaboration, international standards, and open access that we have learned from Ross Scaife, the founder of the Stoa Consortium."	aland2005 | allen1924 | allen1931 | dahlstrom2000 | desmedt2002a | due2001a | due2001b | due2002 | due2006 | due2004 | foley1991a | foley1995 | foley1999 | greg1955 | janko1982 | kiernan2005 | loranger1999 | lord2000 | lord1991 | lord1995 | monella2008 | monroy2002 | nagy1996a | nagy1996b | nagy2000 | nagy2002 | nagy2004a | parry1971 | porter2007 | reynolds1991 | robinson2005a | robinson2005b | sherratt1990 | stringer1999 | thaller2004 | ulman2006 | vanhulle2004 | vanhoutte2007 | watkins1995	1
30	"Cayless, Hugh | RouechÃ©, Charlotte | Elliott, Tom | Bodard, Gabriel"	2009	Epigraphy in 2017	Digital Humanities Quarterly	"Epigraphy as a discipline has evolved greatly over the centuries. Many epigraphists in the last 20 years have been investigating how to use digital technology to advance their research, but until the present decade, these undertakings were restrained by aspects of the technology. The late 1990s will be seen as a watershed moment in the transition from print-based to born-digital epigraphic publication. At present, the majority of new editions are still published solely in print, but by 2017 we believe this circumstance will change drastically. The history of epigraphy makes it quite clear that such transitions are natural to the discipline."	bodard2009 | bos2007 | bray2006 | herrin1984 | clark1999 | clark1999a | colin2007 | dagron1984 | elliott2007a | panciera1991 | reynolds2007 | roueche2004 | smith2004 | unsworth2000 | vangroningen1932	1
31	"Elliott, Tom | Gillies, Sean"	2009	Digital Geography and Classics	Digital Humanities Quarterly	"The authors open by imagining one possible use of digital geographic techniques in the context of humanities research in 2017. They then outline the background to this vision, from early engagements in web-based mapping for the Classics to recent, fast-paced developments in web-based, collaborative geography. The article concludes with a description of their own Pleiades Project (http://pleiades.stoa.org), which gives scholars, students and enthusiasts worldwide the opportunity to use, create and share historical geographic information about the Greek and Roman World in digital form."	asadi2007 | babeau2007 | badger2007a | bell2008 | berlind2007 | bhasker2007 | boast2007 | boll2008 | boonstra2004 | buckland2004 | bunbury1883 | carlson2007a | chavez1999 | cohen2008a | crane2001 | crane2006a | crane2006e | crane2006b | crawford2008 | czerwinski2006 | dunn2008 | elliott2006 | elliott2008a | elliott2008b | elliott2008 | executive_order_12906 | executive_order_13286 | fabricius1888 | fee2008 | foss2007 | gillies2008 | genoni2005 | geoweb2007 | goodchild2004 | goodchild2007 | goodchild2007a | gregory2002 | guthrie2008 | hansen2004 | hartzler1998 | hill2006 | hudsonsmith2008 | kiepert1878 | kiepert1881 | kiepert1902 | knowles2002 | knowles2008 | kozareva2006 | lucarelli2007 | miller2007b | mohammed2002 | mohr2006 | mostern2008a | nadeau2006 | office2000 | ohazama2007 | petrou2007 | peuquet2002 | pritchard2008 | putz1994 | ratliff2007 | rohs2007 | rydbergcox2000 | sahin2007 | scaife1999 | scaife2006 | schutzberg2007 | shaalan2008 | shadbolt2006 | smith2001 | smith2002a | smith2002b | smith2005 | spiro2008 | sterling2007 | stodle2007 | syme1995 | talbert1992 | tilkov2007 | turner2006 | unsworth2000 | unsworth2006 | wilson2007	1
32	"Finkel, Raphael | Stump, Gregory"	2009	What Your Teacher Told You is True: Latin Verbs Have Four Principal Parts	Digital Humanities Quarterly	"We describe two different strategies for generating the morphology of Latin verbs. First, we hand-code default inheritance hierarchies in the KATR formalism, treating inflectional exponents as markings associated with the application of rules by which complex word forms are deduced from simpler roots or stems. The high degree of similarity among verbs of different conjugation classes allows us to formulate general rules; these general rules are, however, sometimes overridden by conjugation-specific rules. This approach allows linguists to gain an appreciation for the structure of verbs, gives teachers a foundation for organizing lessons in morphology, and provides students a technique for generating forms of any verb. Second, we start with a paradigm chart, then automatically remove common parts and redundant morphosyntactic property sets (columns), combine similar conjugations (rows), and generate the KATR theory that produces a complete table of forms for a set of lexemes. This second approach automatically determines principal parts (for Latin, we verify that there are four), groups inflection classes into super-classes, and builds full paradigm charts."	anderson1992 | blevins2005 | blevins2006 | corbett1993 | evans1989 | finkel2002 | finkel2007a | finkel2007b | finkel2009a | wikipedia2009a | matthews1972 | stump2001 | zwicky1985	1
