Article ID	Pub. Year	Authors	Affiliations	Authors with Affiliations	Title	Recommendation 1	Recommendation 2	Recommendation 3	Recommendation 4	Recommendation 5	Recommendation 6	Recommendation 7	Recommendation 8	Recommendation 9	Recommendation 10	url
000011	2007	Steve F. Anderson	University of Southern California	Steve F. Anderson, University of Southern California	Aporias of the Digital Avant-Garde	000361	000120	000409	000161	000379	000193	000541	000356	000389	000139	https://dhq.digitalhumanities.org/vol/1/2/000011/000011.html
000012	2007	David Hoover	New York University	David Hoover, New York University	The End of the Irrelevant Text: Electronic Texts, Linguistics, and Literary Theory	000183	000286	000237	000203	000263	000097	000694	000323	000683	000181	https://dhq.digitalhumanities.org/vol/1/2/000012/000012.html
000013	2007	Melissa Terras	University College London	Melissa Terras, University College London	DHQ in the Public Eye	000029	000047	000375	000088	000077	000608	000007	000320	000080	000184	https://dhq.digitalhumanities.org/vol/1/2/000013/000013.html
000014	2007	Ernesto Priani Saisó	Universidad Nacional Autónoma de México	Ernesto Priani Saisó, Universidad Nacional Autónoma de México	Revista Digital Universitaria: A Workshop of Digital Editing at the Universidad Nacional Autónoma de México	000029	000460	000170	000820	000047	000035	000020	000046	000034	000107	https://dhq.digitalhumanities.org/vol/1/2/000014/000014.html
000015	2008	Belinda Barnet	Swinburne University of Technology, Melbourne	Belinda Barnet, Swinburne University of Technology, Melbourne	The Technical Evolution of Vannevar Bush’s Memex	000193	000196	000146	000202	000019	000541	000020	000170	000172	000369	https://dhq.digitalhumanities.org/vol/2/1/000015/000015.html
000016	2008	Richard Cunningham | David Duke | John Eustace | Anna Galway | Erin Patterson	Acadia University | Acadia University | Acadia University |  | Acadia University	Richard Cunningham, Acadia University; David Duke, Acadia University; John Eustace, Acadia University; Anna Galway; Erin Patterson, Acadia University	The Humanities HyperMedia Centre @ Acadia University: An Invitation to Think About Higher Education	000319	000330	000320	000478	000312	000302	000306	000193	000358	000591	https://dhq.digitalhumanities.org/vol/2/1/000016/000016.html
000017	2008	Mark C. Marino	University of Southern California	Mark C. Marino, University of Southern California	Review: The Electronic Literature Collection Volume I: A New Media Primer	000046	000162	000207	000018	000051	000657	000150	000139	000013	000115	https://dhq.digitalhumanities.org/vol/2/1/000017/000017.html
000018	2008	Patricia Tomaszek	Siegen University	Patricia Tomaszek, Siegen University	Conference Review: Reading Digital Literature at Brown University, October 4-7, 2007.	000046	000017	000087	000048	000099	000047	000139	000150	000146	000308	https://dhq.digitalhumanities.org/vol/2/1/000018/000018.html
000019	2008	Gerhard Jan Nauta	Leiden University	Gerhard Jan Nauta, Leiden University	As You Can See: Applying Visual Collaborative Filtering to Works of Art	000202	000123	000227	000078	000145	000351	000196	000081	000034	000685	https://dhq.digitalhumanities.org/vol/2/1/000019/000019.html
000020	2008	Wendell Piez	Mulberry Technologies, Inc.	Wendell Piez, Mulberry Technologies, Inc.	Something Called "Digital Humanities"	000014	000088	000015	000007	000351	000112	000645	000202	000077	000080	https://dhq.digitalhumanities.org/vol/2/1/000020/000020.html
000021	2009	Gregory Crane | Brent Seales | Melissa Terras	Tufts University | University of Kentucky | University College London	Gregory Crane, Tufts University; Brent Seales, University of Kentucky; Melissa Terras, University College London	Acknowledgements and Dedications	000382	000297	000134	000546	000237	000396	000029	000024	000395	000475	https://dhq.digitalhumanities.org/vol/3/1/000021/000021.html
000022	2009	Dot Porter	Digital Humanities Observatory	Dot Porter, Digital Humanities Observatory	Ross Scaife (1960-2008)	000311	000055	000177	000112	000163	000133	000119	000336	000095	000127	https://dhq.digitalhumanities.org/vol/3/1/000022/000022.html
000023	2009	Gregory Crane | Brent Seales | Melissa Terras	Tufts University | University of Kentucky | University College London	Gregory Crane, Tufts University; Brent Seales, University of Kentucky; Melissa Terras, University College London	Cyberinfrastructure for Classical Philology	000035	000034	000033	000030	000790	000029	000134	000454	000217	000706	https://dhq.digitalhumanities.org/vol/3/1/000023/000023.html
000024	2009	Christopher Blackwell | Thomas R. Martin	Furman University | College of the Holy Cross	Christopher Blackwell, Furman University; Thomas R. Martin, College of the Holy Cross	Technology, Collaboration, and Undergraduate Research	000385	000215	000252	000306	000436	000029	000471	000390	000322	000063	https://dhq.digitalhumanities.org/vol/3/1/000024/000024.html
000025	2009	Anne Mahoney	Tufts University	Anne Mahoney, Tufts University	Tachypaedia Byzantina: The Suda On Line as Collaborative Encyclopedia	000184	000029	000031	000350	000709	000683	000047	000173	000620	000179	https://dhq.digitalhumanities.org/vol/3/1/000025/000025.html
000026	2009	Bruce Robertson	Mount Allison University	Bruce Robertson, Mount Allison University	Exploring Historical RDF with Heml	000105	000244	000078	000146	000031	000263	000604	000296	000808	000534	https://dhq.digitalhumanities.org/vol/3/1/000026/000026.html
000027	2009	Jeffrey A. Rydberg-Cox	University of Missouri-Kansas City	Jeffrey A. Rydberg-Cox, University of Missouri-Kansas City	Digitizing Latin Incunabula: Challenges, Methods, and Possibilities	000058	000442	000449	000030	000004	000071	000034	000125	000382	000430	https://dhq.digitalhumanities.org/vol/3/1/000027/000027.html
000028	2009	Neel Smith	College of the Holy Cross	Neel Smith, College of the Holy Cross	Citation in Classical Studies	000181	000350	000245	000424	000164	000255	000538	000061	000026	000107	https://dhq.digitalhumanities.org/vol/3/1/000028/000028.html
000029	2009	Casey Dué | Mary Ebbott	University of Houston, Texas | College of the Holy Cross	Casey Dué, University of Houston, Texas; Mary Ebbott, College of the Holy Cross	Digital Criticism: Editorial Standards for the Homer Multitext	000025	000447	000014	000030	000150	000047	000031	000035	000013	000108	https://dhq.digitalhumanities.org/vol/3/1/000029/000029.html
000030	2009	Hugh Cayless | Charlotte Roueché | Tom Elliott | Gabriel Bodard	University of North Carolina | King's College London | New York University | King's College London	Hugh Cayless, University of North Carolina; Charlotte Roueché, King's College London; Tom Elliott, New York University; Gabriel Bodard, King's College London	Epigraphy in 2017	000029	000447	000034	000247	000035	000023	000649	000251	000033	000382	https://dhq.digitalhumanities.org/vol/3/1/000030/000030.html
000031	2009	Tom Elliott | Sean Gillies	New York University | New York University	Tom Elliott, New York University; Sean Gillies, New York University	Digital Geography and Classics	000029	000025	000003	000123	000026	000184	000770	000057	000467	000173	https://dhq.digitalhumanities.org/vol/3/1/000031/000031.html
000032	2009	Raphael Finkel | Gregory Stump	University of Kentucky | University of Kentucky	Raphael Finkel, University of Kentucky; Gregory Stump, University of Kentucky	What Your Teacher Told You is True: Latin Verbs Have Four Principal Parts	000033	000357	000337	000146	000170	000730	000023	000012	000014	000498	https://dhq.digitalhumanities.org/vol/3/1/000032/000032.html
000033	2009	David Bamman | Gregory Crane	Tufts University | Tufts University	David Bamman, Tufts University; Gregory Crane, Tufts University	Computational Linguistics and Classical Lexicography	000034	000023	000035	000247	000134	000392	000074	000032	000251	000030	https://dhq.digitalhumanities.org/vol/3/1/000033/000033.html
000034	2009	Gregory Crane | Alison Babeu | David Bamman | Thomas Breuel | Lisa Cerrato | Daniel Deckers | Anke Lüdeling | David Mimno | Rashmi Singhal | David A. Smith | Amir Zeldes	Tufts University | Tufts University | Tufts University | Technical University of Kaiserslautern | Tufts University | Hamburg University | Humboldt-University, Berlin | University of Massachusetts, Amherst | Tufts University | University of Massachusetts, Amherst | Humboldt-University, Berlin	Gregory Crane, Tufts University; Alison Babeu, Tufts University; David Bamman, Tufts University; Thomas Breuel, Technical University of Kaiserslautern; Lisa Cerrato, Tufts University; Daniel Deckers, Hamburg University; Anke Lüdeling, Humboldt-University, Berlin; David Mimno, University of Massachusetts, Amherst; Rashmi Singhal, Tufts University; David A. Smith, University of Massachusetts, Amherst; Amir Zeldes, Humboldt-University, Berlin	Classics in the Million Book Library	000035	000023	000033	000790	000327	000041	000475	000206	000029	000227	https://dhq.digitalhumanities.org/vol/3/1/000034/000034.html
000035	2009	Christopher Blackwell | Gregory Crane	Furman University | Tufts University	Christopher Blackwell, Furman University; Gregory Crane, Tufts University	Conclusion: Cyberinfrastructure, the Scaife Digital Library and Classics in a Digital age	000034	000023	000033	000790	000029	000014	000444	000215	000370	000438	https://dhq.digitalhumanities.org/vol/3/1/000035/000035.html
000036	2009	Gregory Nagy | James O'Donnell	Harvard University | Georgetown University	Gregory Nagy, Harvard University; James O'Donnell, Georgetown University	Foreword	000215	000320	000017	000233	000552	000531	000483	000385	000714	000304	https://dhq.digitalhumanities.org/vol/3/1/000036/000036.html
000037	2009	Matthew G. Kirschenbaum	University of Maryland	Matthew G. Kirschenbaum, University of Maryland	Done: Finishing Projects in the Digital Humanities	000867	000308	000004	000455	000668	000714	000321	000179	000047	000163	https://dhq.digitalhumanities.org/vol/3/2/000037/000037.html
000038	2009	William A. Kretzschmar, Jr.	University of Georgia	William A. Kretzschmar, Jr., University of Georgia	Large-Scale Humanities Computing Projects: Snakes Eating Tails, or Every End is a New Beginning?	000174	000003	000294	000319	000227	000330	000473	000661	000350	000460	https://dhq.digitalhumanities.org/vol/3/2/000038/000038.html
000039	2009	David Sewell	University of Virginia Press	David Sewell, University of Virginia Press	It’s For Sale, So It Must Be Finished: Digital Projects in the Scholarly Publishing World	000007	000554	000008	000029	000040	000645	000132	000014	000662	000411	https://dhq.digitalhumanities.org/vol/3/2/000039/000039.html
000040	2009	Susan Brown | Patricia Clements | Isobel Grundy | Stan Ruecker | Jeffery Antoniuk | Sharon Balazs	University of Guelph | University of Alberta | University of Alberta | University of Alberta | University of Alberta | University of Alberta	Susan Brown, University of Guelph; Patricia Clements, University of Alberta; Isobel Grundy, University of Alberta; Stan Ruecker, University of Alberta; Jeffery Antoniuk, University of Alberta; Sharon Balazs, University of Alberta	Published Yet Never Done: The Tension Between Projection and Completion in Digital Humanities Research	000455	000670	000179	000173	000660	000524	000003	000227	000321	000509	https://dhq.digitalhumanities.org/vol/3/2/000040/000040.html
000041	2009	Shlomo Argamon | Mark Olsen	Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology | ARTFL Project, University of Chicago	Shlomo Argamon, Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology; Mark Olsen, ARTFL Project, University of Chicago	Words, Patterns and Documents: Experiments in Machine Learning and Text Analysis	000034	000738	000042	000043	000183	000044	000808	000442	000648	000170	https://dhq.digitalhumanities.org/vol/3/2/000041/000041.html
000042	2009	Shlomo Argamon | Jean-Baptiste Goulain | Russell Horton | Mark Olsen	Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology | Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology | Digital Library Development Center, University of Chicago | ARTFL Project, University of Chicago	Shlomo Argamon, Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology; Jean-Baptiste Goulain, Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology; Russell Horton, Digital Library Development Center, University of Chicago; Mark Olsen, ARTFL Project, University of Chicago	Vive la Différence! Text Mining Gender Difference in French Literature	000043	000263	000490	000223	000170	000291	000343	000041	000377	000618	https://dhq.digitalhumanities.org/vol/3/2/000042/000042.html
000043	2009	Shlomo Argamon | Charles Cooney | Russell Horton | Mark Olsen | Sterling Stein | Robert Voyer	Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology, Chicago | ARTFL Project, University of Chicago | Digital Library Development Center, University of Chicago | ARTFL Project, University of Chicago | Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology, Chicago | Powerset	Shlomo Argamon, Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology, Chicago; Charles Cooney, ARTFL Project, University of Chicago; Russell Horton, Digital Library Development Center, University of Chicago; Mark Olsen, ARTFL Project, University of Chicago; Sterling Stein, Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology, Chicago; Robert Voyer, Powerset	Gender, Race, and Nationality in Black Drama, 1950-2006: Mining Differences in Language Use in Authors and their Characters	000045	000216	000211	000042	000448	000034	000041	000223	000333	000469	https://dhq.digitalhumanities.org/vol/3/2/000043/000043.html
000044	2009	Russell Horton | Robert Morrissey | Mark Olsen | Glenn Roe | Robert Voyer	Digital Library Development Center, University of Chicago | University of Chicago | ARTFL Project, University of Chicago | ARTFL Project, University of Chicago | Powerset	Russell Horton, Digital Library Development Center, University of Chicago; Robert Morrissey, University of Chicago; Mark Olsen, ARTFL Project, University of Chicago; Glenn Roe, ARTFL Project, University of Chicago; Robert Voyer, Powerset	Mining Eighteenth Century Ontologies: Machine Learning and Knowledge Classification in the Encyclopédie	000097	000382	000237	000317	000144	000146	000034	000041	000808	000490	https://dhq.digitalhumanities.org/vol/3/2/000044/000044.html
000045	2009	Sean Ross Meehan	Washington College, Chesterton, MD	Sean Ross Meehan, Washington College, Chesterton, MD	Text Minding: "A Response to Gender, Race, and Nationality in Black Drama, 1850-2000: Mining Differences in Language Use in Authors and their Characters"	000043	000377	000170	000042	000223	000015	000289	000400	000280	000476	https://dhq.digitalhumanities.org/vol/3/2/000045/000045.html
000046	2009	Scott Rettberg	The University of Bergen Dept. of Literary, Linguistic, and Aesthetic Studies	Scott Rettberg, The University of Bergen Dept. of Literary, Linguistic, and Aesthetic Studies	Communitizing Electronic Literature	000017	000018	000087	000693	000308	000616	000193	000004	000325	000151	https://dhq.digitalhumanities.org/vol/3/2/000046/000046.html
000047	2009	Sarah Toton | Stacey Martin	Emory University | Emory University	Sarah Toton, Emory University; Stacey Martin, Emory University	Teaching and Learning from the U.S. South in Global Contexts: A Case Study of Southern Spaces and Southcomb	000119	000029	000184	000063	000481	000303	000524	000013	000588	000031	https://dhq.digitalhumanities.org/vol/3/2/000047/000047.html
000048	2009	Johanna Drucker	University of California, Los Angeles	Johanna Drucker, University of California, Los Angeles	A Review of Matthew Kirschenbaum, Mechanisms: New Media and the Forensic Imagination Cambridge, MA and London, UK: MIT University Press, 2008	000051	000140	000150	000052	000139	000047	000389	000002	000018	000144	https://dhq.digitalhumanities.org/vol/3/2/000048/000048.html
000049	2009	Eric Gordon | David Bogen	Emerson College | Rhode Island School of Design	Eric Gordon, Emerson College; David Bogen, Rhode Island School of Design	Designing Choreographies for the "New Economy of Attention"	000118	000390	000685	000109	000219	000386	000242	000120	000304	000180	https://dhq.digitalhumanities.org/vol/3/2/000049/000049.html
000050	2009	Amy Earhart | Maura Ives	Texas A&M University | Texas A&M University	Amy Earhart, Texas A&M University; Maura Ives, Texas A&M University	Introduction	000677	000055	000080	000077	000177	000079	000820	000133	000311	000416	https://dhq.digitalhumanities.org/vol/3/3/000050/000050.html
000051	2009	Peter M. W. Robinson	University of Birmingham	Peter M. W. Robinson, University of Birmingham	The Ends of Editing	000150	000088	000029	000054	000212	000099	000047	000013	000018	000020	https://dhq.digitalhumanities.org/vol/3/3/000051/000051.html
000052	2009	Morris Eaves	University of Rochester	Morris Eaves, University of Rochester	Picture Problems: X-Editing Images 1992-2010	000088	000275	000573	000212	000159	000165	000057	000048	000124	000025	https://dhq.digitalhumanities.org/vol/3/3/000052/000052.html
000053	2009	Kenneth M. Price	University of Nebraska-Lincoln	Kenneth M. Price, University of Nebraska-Lincoln	Edition, Project, Database, Archive, Thematic Research Collection: What's in a Name?	000424	000761	000175	000003	000328	000772	000144	000059	000515	000196	https://dhq.digitalhumanities.org/vol/3/3/000053/000053.html
000054	2009	Peter Shillingsburg	Loyola University Chicago	Peter Shillingsburg, Loyola University Chicago	How Literary Works Exist: Convenient Scholarly Editions	000151	000320	000150	000215	000107	000202	000051	000227	000350	000181	https://dhq.digitalhumanities.org/vol/3/3/000054/000054.html
000055	2009	Julia Flanders	Brown University	Julia Flanders, Brown University	The Productive Unease of 21st-century Digital Scholarship	000127	000080	000177	000077	000133	000079	000311	000070	000050	000112	https://dhq.digitalhumanities.org/vol/3/3/000055/000055.html
000056	2009	Olin Bjork	Georgia Institute of Technology	Olin Bjork, Georgia Institute of Technology	Reinventing the Classroom Edition: Paradise Lost Book IX Flash Audiotext	000507	000173	000169	000538	000265	000081	000372	000337	000356	000275	https://dhq.digitalhumanities.org/vol/3/3/000056/000056.html
000057	2009	Amy Earhart	Texas A&M University	Amy Earhart, Texas A&M University	Mapping Concord: Google Maps and the 19th-Century Concord Digital Archive	000031	000467	000091	000173	000052	000146	000819	000299	000184	000003	https://dhq.digitalhumanities.org/vol/3/3/000057/000057.html
000058	2009	Eugene Lyman	University of Rhode Island	Eugene Lyman, University of Rhode Island	"May the Text Rise up to Meet You": New Ways of Reading Old Manuscripts	000414	000227	000027	000449	000574	000405	000108	000382	000062	000281	https://dhq.digitalhumanities.org/vol/3/3/000058/000058.html
000059	2009	Laura Mandell	Miami University of Ohio	Laura Mandell, Miami University of Ohio	The Poetess Archive Database	000184	000061	000227	000174	000344	000469	000538	000173	000523	000502	https://dhq.digitalhumanities.org/vol/3/3/000059/000059.html
000060	2009	Aimee Roundtree	University of Houston-Downtown	Aimee Roundtree, University of Houston-Downtown	Simulated Visuals: Some Rhetorical and Ethical Implications	000091	000339	000356	000146	000397	000170	000205	000819	000276	000332	https://dhq.digitalhumanities.org/vol/3/3/000060/000060.html
000061	2009	Eduardo Urbina | Richard Furuta | Steven E. Smith	Texas A&M University | Texas A&M University | Texas A&M University	Eduardo Urbina, Texas A&M University; Richard Furuta, Texas A&M University; Steven E. Smith, Texas A&M University	Cervantes Project: The Digital Quixote Iconography Collection	000670	000174	000586	000173	000515	000184	000003	000059	000175	000179	https://dhq.digitalhumanities.org/vol/3/3/000061/000061.html
000062	2009	Wesley Raabe	Kent State University	Wesley Raabe, Kent State University	Over Uncle Tom's Dead Body: Publication Context and Textual Variation in Harriet Beecher Stowe's Uncle Tom's Cabin	000382	000108	000447	000197	000595	000574	000058	000140	000029	000320	https://dhq.digitalhumanities.org/vol/3/3/000062/000062.html
000063	2009	Katheryn Giglio | John Venecek	University of Central Florida (English Department) | University of Central Florida Libraries	Katheryn Giglio, University of Central Florida (English Department); John Venecek, University of Central Florida Libraries	The Radical Historicity of Everything: Exploring Shakespearean Identity with Web 2.0	000320	000047	000665	000319	000323	000197	000092	000150	000029	000478	https://dhq.digitalhumanities.org/vol/3/3/000063/000063.html
000064	2009	Jerome McDonough	Graduate School of Library and Information Science, University of Illinois at Urbana-Champaign	Jerome McDonough, Graduate School of Library and Information Science, University of Illinois at Urbana-Champaign	XML, Interoperability and the Social Construction of Markup Languages: The Library Example	000344	000449	000199	000015	000059	000034	000448	000196	000450	000107	https://dhq.digitalhumanities.org/vol/3/3/000064/000064.html
000065	2009	Patrik Svensson	Umeå University	Patrik Svensson, Umeå University	Humanities Computing as Digital Humanities	000121	000007	000081	000080	000369	000091	000457	000207	000083	000005	https://dhq.digitalhumanities.org/vol/3/3/000065/000065.html
000066	2009	Elizabeth Sandifer	University of Florida	Elizabeth Sandifer, University of Florida	Avatari: Disruption and Imago in Video Games	000122	000129	000486	000339	000429	000433	000101	000568	000204	000049	https://dhq.digitalhumanities.org/vol/3/3/000066/000066.html
000067	2009	Stan Ruecker | Milena Radzikowska | Stéfan Sinclair	University of Alberta, Canada | Mount Royal College, Canada | McMaster University, Canada	Stan Ruecker, University of Alberta, Canada; Milena Radzikowska, Mount Royal College, Canada; Stéfan Sinclair, McMaster University, Canada	Designing Data Mining Droplets: New Interface Objects for the Humanities Scholar	000337	000166	000205	000819	000709	000190	000356	000281	000216	000486	https://dhq.digitalhumanities.org/vol/3/3/000067/000067.html
000068	2010	Amélie Zöllner-Weber	Uni Digital, Bergen, Norway	Amélie Zöllner-Weber, Uni Digital, Bergen, Norway	Ontologies and Logic Reasoning as Tools in Humanities?	000146	000145	000291	000589	000316	000026	000104	000078	000745	000370	https://dhq.digitalhumanities.org/vol/3/4/000068/000068.html
000069	2010	Kari Kraus	College of Information Studies and Department of English, University of Maryland	Kari Kraus, College of Information Studies and Department of English, University of Maryland	Conjectural Criticism: Computing Past and Future Texts	000461	000751	000263	000012	000144	000089	000042	000618	000291	000244	https://dhq.digitalhumanities.org/vol/3/4/000069/000069.html
000070	2010	Melissa M. Terras	Department of Information Studies, University College London	Melissa M. Terras, Department of Information Studies, University College London	The Potential and Problems in using High Performance Computing in the Arts and Humanities: the Researching e-Science Analysis of Census Holdings (ReACH) Project.	000184	000074	000047	000472	000133	000374	000029	000481	000077	000055	https://dhq.digitalhumanities.org/vol/3/4/000070/000070.html
000071	2010	Peter Ainsworth | Michael Meredith	Dept of French and Humanities Research Institute, University of Sheffield | Humanities Research Institute, University of Sheffield	Peter Ainsworth, Dept of French and Humanities Research Institute, University of Sheffield; Michael Meredith, Humanities Research Institute, University of Sheffield	e-Science for Medievalists: Options, Challenges, Solutions and Opportunities	000546	000374	000029	000159	000173	000125	000123	000108	000412	000227	https://dhq.digitalhumanities.org/vol/3/4/000071/000071.html
000072	2010	Nicolas Gold	King's College London, Department of Computer Science	Nicolas Gold, King's College London, Department of Computer Science	Service-Oriented Software in the Humanities: A Software Engineering Perspective	000620	000127	000119	000184	000134	000500	000047	000074	000761	000374	https://dhq.digitalhumanities.org/vol/3/4/000072/000072.html
000073	2010	John Unsworth	Graduate School of Library and Information Science, University of Illinois, Urbana-Champaign	John Unsworth, Graduate School of Library and Information Science, University of Illinois, Urbana-Champaign	The Making of "Our Cultural Commonwealth"	000174	000038	000350	000473	000090	000184	000477	000319	000166	000411	https://dhq.digitalhumanities.org/vol/3/4/000073/000073.html
000074	2010	Gregory Sporton	Director, Visualisation Research Unit, School of Art, Birmingham City University	Gregory Sporton, Director, Visualisation Research Unit, School of Art, Birmingham City University	The "e" Prefix: e-Science, e-Art & the New Creativity	000167	000070	000134	000145	000142	000072	000112	000379	000080	000127	https://dhq.digitalhumanities.org/vol/3/4/000074/000074.html
000075	2010	Ray Siemens | Cara Leitch | Analisa Blake | Karin Armstrong | John Willinsky	University of Victoria | University of Victoria | University of Victoria | University of Victoria | University of British Columbia/Stanford	Ray Siemens, University of Victoria; Cara Leitch, University of Victoria; Analisa Blake, University of Victoria; Karin Armstrong, University of Victoria; John Willinsky, University of British Columbia/Stanford	"It May Change My Understanding of the Field": Understanding Reading Tools for Scholars and Professional Readers	000387	000178	000128	000510	000197	000313	000507	000356	000304	000227	https://dhq.digitalhumanities.org/vol/3/4/000075/000075.html
000076	2010	Angela Piccini	University of Bristol	Angela Piccini, University of Bristol	Locating Grid Technologies: Performativity, Place, Space: Challenging the Institutionalized Spaces of e-Science	000080	000184	000375	000142	000386	000177	000074	000070	000055	000077	https://dhq.digitalhumanities.org/vol/3/4/000076/000076.html
000077	2010	Christine L. Borgman	Professor & Presidential Chair in Information Studies, UCLA	Christine L. Borgman, Professor & Presidential Chair in Information Studies, UCLA	The Digital Future is Now: A Call to Action for the Humanities	000177	000311	000080	000133	000119	000167	000079	000055	000114	000047	https://dhq.digitalhumanities.org/vol/3/4/000077/000077.html
000078	2010	Mark Hedges	Centre for e-Research, King’s College London	Mark Hedges, Centre for e-Research, King’s College London	Grid-enabling Humanities Datasets	000026	000123	000184	000019	000054	000111	000055	000146	000090	000025	https://dhq.digitalhumanities.org/vol/3/4/000078/000078.html
000079	2010	Stuart Dunn | Tobias Blanke	Centre for e-Research, King's College London | Centre for e-Research, King's College London	Stuart Dunn, Centre for e-Research, King's College London; Tobias Blanke, Centre for e-Research, King's College London	Digital Humanities Quarterly Special Cluster on Arts and Humanities e-Science	000080	000177	000055	000077	000311	000133	000070	000677	000127	000050	https://dhq.digitalhumanities.org/vol/3/4/000079/000079.html
000080	2010	Patrik Svensson	HUMlab, Umeå University	Patrik Svensson, HUMlab, Umeå University	The Landscape of Digital Humanities	000177	000077	000055	000311	000079	000133	000076	000193	000808	000112	https://dhq.digitalhumanities.org/vol/4/1/000080/000080.html
000081	2010	Belinda Barnet	Lecturer in Media at Swinburne University Melbourne, in association with Smart Services CRC.	Belinda Barnet, Lecturer in Media at Swinburne University Melbourne, in association with Smart Services CRC.	Crafting the User-Centered Document Interface: The Hypertext Editing System (HES) and the File Retrieval and Editing System (FRESS)	000173	000136	000248	000056	000507	000808	000227	000265	000083	000080	https://dhq.digitalhumanities.org/vol/4/1/000081/000081.html
000082	2010	Domenico Fiormonte | Valentina Martiradonna | Desmond Schmidt	Università Roma Tre, Dipartimento di Italianistica | Università di Roma, La Sapienza | Queensland University of Technology, Information Security Institute	Domenico Fiormonte, Università Roma Tre, Dipartimento di Italianistica; Valentina Martiradonna, Università di Roma, La Sapienza; Desmond Schmidt, Queensland University of Technology, Information Security Institute	Digital Encoding as a Hermeneutic and Semiotic Act: The Case of Valerio Magrelli	000300	000751	000263	000315	000295	000004	000328	000323	000338	000042	https://dhq.digitalhumanities.org/vol/4/1/000082/000082.html
