Article ID	Pub. Year	Authors	Affiliations	Title	Recommendation 1	Recommendation 2	Recommendation 3	Recommendation 4	Recommendation 5	Recommendation 6	Recommendation 7	Recommendation 8	Recommendation 9	Recommendation 10	url
000020	2008	Wendell Piez	Mulberry Technologies, Inc.	Something Called "Digital Humanities"	000478	000092	000069	000112	000122	000194	000139	000616	000141	000286	https://digitalhumanities.org/dhq/vol/2/1/000020/000020.html
000021	2009	Gregory Crane | Brent Seales | Melissa Terras	Tufts University | University of Kentucky | University College London	Acknowledgements and Dedications	000035	000023	000024	000031	000029	000025	000335	000034	000028	000022	https://digitalhumanities.org/dhq/vol/3/1/000021/000021.html
000022	2009	Dot Porter	Digital Humanities Observatory	Ross Scaife (1960-2008)	000023	000035	000031	000025	000024	000029	000028	000021	000335	000036	https://digitalhumanities.org/dhq/vol/3/1/000022/000022.html
000023	2009	Gregory Crane | Brent Seales | Melissa Terras	Tufts University | University of Kentucky | University College London	Cyberinfrastructure for Classical Philology	000035	000034	000245	000024	000031	000563	000253	000251	000028	000033	https://digitalhumanities.org/dhq/vol/3/1/000023/000023.html
000024	2009	Christopher Blackwell | Thomas R. Martin	Furman University | College of the Holy Cross	Technology, Collaboration, and Undergraduate Research	000035	000023	000029	000034	000297	000028	000245	000183	000675	000022	https://digitalhumanities.org/dhq/vol/3/1/000024/000024.html
000025	2009	Anne Mahoney	Tufts University	Tachypaedia Byzantina: The Suda On Line as Collaborative Encyclopedia	000031	000023	000022	000444	000019	000124	000629	000367	000354	000035	https://digitalhumanities.org/dhq/vol/3/1/000025/000025.html
000026	2009	Bruce Robertson	Mount Allison University	Exploring Historical RDF with Heml	000726	000316	000605	000568	000279	000318	000181	000731	000704	000196	https://digitalhumanities.org/dhq/vol/3/1/000026/000026.html
000027	2009	Jeffrey A. Rydberg-Cox	University of Missouri-Kansas City	Digitizing Latin Incunabula: Challenges, Methods, and Possibilities	000034	000035	000247	000288	000030	000430	000561	000181	000412	000573	https://digitalhumanities.org/dhq/vol/3/1/000027/000027.html
000028	2009	Neel Smith	College of the Holy Cross	Citation in Classical Studies	000181	000245	000035	000024	000293	000023	000350	000255	000561	000183	https://digitalhumanities.org/dhq/vol/3/1/000028/000028.html
000029	2009	Casey Dué | Mary Ebbott	University of Houston, Texas | College of the Holy Cross	Digital Criticism: Editorial Standards for the Homer Multitext	000024	000035	000675	000297	000023	000183	000028	000197	000245	000161	https://digitalhumanities.org/dhq/vol/3/1/000029/000029.html
000030	2009	Hugh Cayless | Charlotte Roueché | Tom Elliott | Gabriel Bodard	University of North Carolina | King's College London | New York University | King's College London	Epigraphy in 2017	000034	000035	000236	000651	000151	000733	000028	000175	000087	000321	https://digitalhumanities.org/dhq/vol/3/1/000030/000030.html
000031	2009	Tom Elliott | Sean Gillies	New York University | New York University	Digital Geography and Classics	000035	000294	000023	000026	000252	000025	000077	000245	000116	000034	https://digitalhumanities.org/dhq/vol/3/1/000031/000031.html
000032	2009	Raphael Finkel | Gregory Stump	University of Kentucky | University of Kentucky	What Your Teacher Told You is True: Latin Verbs Have Four Principal Parts	000606	000683	000035	000729	000342	000343	000251	000291	000623	000069	https://digitalhumanities.org/dhq/vol/3/1/000032/000032.html
000033	2009	David Bamman | Gregory Crane	Tufts University | Tufts University	Computational Linguistics and Classical Lexicography	000035	000251	000623	000683	000034	000023	000651	000675	000574	000673	https://digitalhumanities.org/dhq/vol/3/1/000033/000033.html
000034	2009	Gregory Crane | Alison Babeu | David Bamman | Thomas Breuel | Lisa Cerrato | Daniel Deckers | Anke Lüdeling | David Mimno | Rashmi Singhal | David A. Smith | Amir Zeldes	Tufts University | Tufts University | Tufts University | Technical University of Kaiserslautern | Tufts University | Hamburg University | Humboldt-University, Berlin | University of Massachusetts, Amherst | Tufts University | University of Massachusetts, Amherst | Humboldt-University, Berlin	Classics in the Million Book Library	000035	000023	000245	000024	000563	000181	000183	000028	000651	000031	https://digitalhumanities.org/dhq/vol/3/1/000034/000034.html
000035	2009	Christopher Blackwell | Gregory Crane	Furman University | Tufts University	Conclusion: Cyberinfrastructure, the Scaife Digital Library and Classics in a Digital age	000023	000034	000245	000031	000024	000563	000028	000029	000183	000251	https://digitalhumanities.org/dhq/vol/3/1/000035/000035.html
000036	2009	Gregory Nagy | James O'Donnell	Harvard University | Georgetown University	Foreword	000022	000035	000021	000025	000023	000126	000029	000028	000031	000335	https://digitalhumanities.org/dhq/vol/3/1/000036/000036.html
000037	2009	Matthew G. Kirschenbaum	University of Maryland	Done: Finishing Projects in the Digital Humanities	000322	000174	000107	000455	000040	000039	000102	000599	000155	000477	https://digitalhumanities.org/dhq/vol/3/2/000037/000037.html
000038	2009	William A. Kretzschmar, Jr.	University of Georgia	Large-Scale Humanities Computing Projects: Snakes Eating Tails, or Every End is a New Beginning?	000031	000116	000337	000294	000299	000714	000597	000303	000560	000273	https://digitalhumanities.org/dhq/vol/3/2/000038/000038.html
000039	2009	David Sewell	University of Virginia Press	It’s For Sale, So It Must Be Finished: Digital Projects in the Scholarly Publishing World	000174	000455	000424	000035	000553	000031	000053	000669	000023	000668	https://digitalhumanities.org/dhq/vol/3/2/000039/000039.html
000040	2009	Susan Brown | Patricia Clements | Isobel Grundy | Stan Ruecker | Jeffery Antoniuk | Sharon Balazs	University of Guelph | University of Alberta | University of Alberta | University of Alberta | University of Alberta | University of Alberta	Published Yet Never Done: The Tension Between Projection and Completion in Digital Humanities Research	000156	000566	000322	000660	000718	000665	000154	000595	000428	000208	https://digitalhumanities.org/dhq/vol/3/2/000040/000040.html
000041	2009	Shlomo Argamon | Mark Olsen	Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology | ARTFL Project, University of Chicago	Words, Patterns and Documents: Experiments in Machine Learning and Text Analysis	000043	000042	000566	000223	000377	000201	000069	000461	000146	000044	https://digitalhumanities.org/dhq/vol/3/2/000041/000041.html
000042	2009	Shlomo Argamon | Jean-Baptiste Goulain | Russell Horton | Mark Olsen	Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology | Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology | Digital Library Development Center, University of Chicago | ARTFL Project, University of Chicago	Vive la Différence! Text Mining Gender Difference in French Literature	000357	000349	000354	000363	000348	000365	000297	000367	000359	000364	https://digitalhumanities.org/dhq/vol/3/2/000042/000042.html
000043	2009	Shlomo Argamon | Charles Cooney | Russell Horton | Mark Olsen | Sterling Stein | Robert Voyer	Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology, Chicago | ARTFL Project, University of Chicago | Digital Library Development Center, University of Chicago | ARTFL Project, University of Chicago | Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology, Chicago | Powerset	Gender, Race, and Nationality in Black Drama, 1950-2006: Mining Differences in Language Use in Authors and their Characters	000342	000042	000371	000566	000555	000291	000096	000044	000461	000499	https://digitalhumanities.org/dhq/vol/3/2/000043/000043.html
000044	2009	Russell Horton | Robert Morrissey | Mark Olsen | Glenn Roe | Robert Voyer	Digital Library Development Center, University of Chicago | University of Chicago | ARTFL Project, University of Chicago | ARTFL Project, University of Chicago | Powerset	Mining Eighteenth Century Ontologies: Machine Learning and Knowledge Classification in the Encyclopédie	000042	000365	000354	000348	000297	000364	000367	000363	000366	000359	https://digitalhumanities.org/dhq/vol/3/2/000044/000044.html
000045	2009	Sean Ross Meehan	Washington College, Chesterton, MD	Text Minding: "A Response to Gender, Race, and Nationality in Black Drama, 1850-2000: Mining Differences in Language Use in Authors and their Characters"	000503	000552	000005	000043	000102	000155	000154	000389	000208	000595	https://digitalhumanities.org/dhq/vol/3/2/000045/000045.html
000046	2009	Scott Rettberg	The University of Bergen Dept. of Literary, Linguistic, and Aesthetic Studies	Communitizing Electronic Literature	000314	000194	000151	000616	000017	000113	000175	000139	000087	000155	https://digitalhumanities.org/dhq/vol/3/2/000046/000046.html
000047	2009	Sarah Toton | Stacey Martin	Emory University | Emory University	Teaching and Learning from the U.S. South in Global Contexts: A Case Study of Southern Spaces and Southcomb	000321	000302	000080	000324	000003	000144	000086	000419	000680	000524	https://digitalhumanities.org/dhq/vol/3/2/000047/000047.html
000048	2009	Johanna Drucker	University of California, Los Angeles	A Review of Matthew Kirschenbaum, Mechanisms: New Media and the Forensic Imagination Cambridge, MA and London, UK: MIT University Press, 2008	000087	000152	000143	000321	000129	000113	000120	000069	000141	000107	https://digitalhumanities.org/dhq/vol/3/2/000048/000048.html
000049	2009	Eric Gordon | David Bogen	Emerson College | Rhode Island School of Design	Designing Choreographies for the "New Economy of Attention"	000390	000110	000090	000080	000180	000557	000076	000135	000276	000139	https://digitalhumanities.org/dhq/vol/3/2/000049/000049.html
000050	2009	Amy Earhart | Maura Ives	Texas A&M University | Texas A&M University	Introduction	000053	000175	000051	000591	000552	000054	000151	000293	000201	000174	https://digitalhumanities.org/dhq/vol/3/3/000050/000050.html
000051	2009	Peter M. W. Robinson	University of Birmingham	The Ends of Editing	000069	000293	000054	000398	000697	000455	000081	000105	000029	000011	https://digitalhumanities.org/dhq/vol/3/3/000051/000051.html
000052	2009	Morris Eaves	University of Rochester	Picture Problems: X-Editing Images 1992-2010	000174	000372	000569	000050	000175	000155	000054	000374	000376	000132	https://digitalhumanities.org/dhq/vol/3/3/000052/000052.html
000053	2009	Kenneth M. Price	University of Nebraska-Lincoln	Edition, Project, Database, Archive, Thematic Research Collection: What's in a Name?	000503	000657	000151	000455	000424	000174	000715	000233	000269	000155	https://digitalhumanities.org/dhq/vol/3/3/000053/000053.html
000054	2009	Peter Shillingsburg	Loyola University Chicago	How Literary Works Exist: Convenient Scholarly Editions	000552	000051	000455	000111	000175	000053	000463	000593	000029	000293	https://digitalhumanities.org/dhq/vol/3/3/000054/000054.html
000055	2009	Julia Flanders	Brown University	The Productive Unease of 21st-century Digital Scholarship	000080	000186	000112	000102	000175	000151	000163	000111	000065	000077	https://digitalhumanities.org/dhq/vol/3/3/000055/000055.html
000056	2009	Olin Bjork	Georgia Institute of Technology	Reinventing the Classroom Edition: Paradise Lost Book IX Flash Audiotext	000117	000210	000140	000103	000652	000619	000478	000379	000035	000113	https://digitalhumanities.org/dhq/vol/3/3/000056/000056.html
000057	2009	Amy Earhart	Texas A&M University	Mapping Concord: Google Maps and the 19th-Century Concord Digital Archive	000070	000652	000183	000490	000461	000544	000144	000077	000031	000294	https://digitalhumanities.org/dhq/vol/3/3/000057/000057.html
000058	2009	Eugene Lyman	University of Rhode Island	"May the Text Rise up to Meet You": New Ways of Reading Old Manuscripts	000117	000478	000591	000241	000115	000552	000479	000108	000703	000060	https://digitalhumanities.org/dhq/vol/3/3/000058/000058.html
000059	2009	Laura Mandell	Miami University of Ohio	The Poetess Archive Database	000657	000139	000703	000565	000718	000223	000519	000524	000046	000244	https://digitalhumanities.org/dhq/vol/3/3/000059/000059.html
000060	2009	Aimee Roundtree	University of Houston-Downtown	Simulated Visuals: Some Rhetorical and Ethical Implications	000195	000010	000108	000002	000409	000400	000153	000122	000521	000127	https://digitalhumanities.org/dhq/vol/3/3/000060/000060.html
000061	2009	Eduardo Urbina | Richard Furuta | Steven E. Smith	Texas A&M University | Texas A&M University | Texas A&M University	Cervantes Project: The Digital Quixote Iconography Collection	000275	000117	000540	000390	000060	000052	000166	000210	000719	000382	https://digitalhumanities.org/dhq/vol/3/3/000061/000061.html
000062	2009	Wesley Raabe	Kent State University	Over Uncle Tom's Dead Body: Publication Context and Textual Variation in Harriet Beecher Stowe's Uncle Tom's Cabin	000210	000050	000201	000117	000670	000524	000194	000111	000053	000610	https://digitalhumanities.org/dhq/vol/3/3/000062/000062.html
000063	2009	Katheryn Giglio | John Venecek	University of Central Florida (English Department) | University of Central Florida Libraries	The Radical Historicity of Everything: Exploring Shakespearean Identity with Web 2.0	000443	000614	000320	000111	000330	000304	000116	000552	000358	000302	https://digitalhumanities.org/dhq/vol/3/3/000063/000063.html
000064	2009	Jerome McDonough	Graduate School of Library and Information Science, University of Illinois at Urbana-Champaign	XML, Interoperability and the Social Construction of Markup Languages: The Library Example	000129	000089	000270	000593	000047	000417	000009	000196	000117	000028	https://digitalhumanities.org/dhq/vol/3/3/000064/000064.html
000065	2009	Patrik Svensson	Umeå University	Humanities Computing as Digital Humanities	000080	000112	000090	000186	000172	000411	000135	000466	000643	000351	https://digitalhumanities.org/dhq/vol/3/3/000065/000065.html
000066	2009	Elizabeth Sandifer	University of Florida	Avatari: Disruption and Imago in Video Games	000101	000098	000002	000331	000165	000432	000122	000360	000501	000109	https://digitalhumanities.org/dhq/vol/3/3/000066/000066.html
000067	2009	Stan Ruecker | Milena Radzikowska | Stéfan Sinclair	University of Alberta, Canada | Mount Royal College, Canada | McMaster University, Canada	Designing Data Mining Droplets: New Interface Objects for the Humanities Scholar	000571	000043	000080	000090	000276	000621	000479	000271	000126	000077	https://digitalhumanities.org/dhq/vol/3/3/000067/000067.html
000068	2010	Amélie Zöllner-Weber	Uni Digital, Bergen, Norway	Ontologies and Logic Reasoning as Tools in Humanities?	000549	000731	000196	000316	000745	000475	000538	000568	000026	000605	https://digitalhumanities.org/dhq/vol/3/4/000068/000068.html
000069	2010	Kari Kraus	College of Information Studies and Department of English, University of Maryland	Conjectural Criticism: Computing Past and Future Texts	000029	000151	000082	000268	000051	000434	000113	000317	000129	000455	https://digitalhumanities.org/dhq/vol/3/4/000069/000069.html
000070	2010	Melissa M. Terras	Department of Information Studies, University College London	The Potential and Problems in using High Performance Computing in the Arts and Humanities: the Researching e-Science Analysis of Census Holdings (ReACH) Project.	000078	000678	000079	000294	000077	000544	000125	000223	000461	000595	https://digitalhumanities.org/dhq/vol/3/4/000070/000070.html
000071	2010	Peter Ainsworth | Michael Meredith	Dept of French and Humanities Research Institute, University of Sheffield | Humanities Research Institute, University of Sheffield	e-Science for Medievalists: Options, Challenges, Solutions and Opportunities	000682	000290	000205	000090	000052	000540	000477	000568	000400	000078	https://digitalhumanities.org/dhq/vol/3/4/000071/000071.html
000072	2010	Nicolas Gold	King's College London, Department of Computer Science	Service-Oriented Software in the Humanities: A Software Engineering Perspective	000570	000477	000701	000678	000351	000706	000600	000471	000484	000561	https://digitalhumanities.org/dhq/vol/3/4/000072/000072.html
000073	2010	John Unsworth	Graduate School of Library and Information Science, University of Illinois, Urbana-Champaign	The Making of "Our Cultural Commonwealth"	000163	000112	000077	000597	000411	000080	000466	000031	000107	000035	https://digitalhumanities.org/dhq/vol/3/4/000073/000073.html
000074	2010	Gregory Sporton	Director, Visualisation Research Unit, School of Art, Birmingham City University	The "e" Prefix: e-Science, e-Art & the New Creativity	000351	000603	000570	000071	000634	000205	000419	000607	000172	000340	https://digitalhumanities.org/dhq/vol/3/4/000074/000074.html
000075	2010	Ray Siemens | Cara Leitch | Analisa Blake | Karin Armstrong | John Willinsky	University of Victoria | University of Victoria | University of Victoria | University of Victoria | University of British Columbia/Stanford	"It May Change My Understanding of the Field": Understanding Reading Tools for Scholars and Professional Readers	000111	000035	000080	000031	000086	000114	000202	000388	000455	000379	https://digitalhumanities.org/dhq/vol/3/4/000075/000075.html
000076	2010	Angela Piccini	University of Bristol	Locating Grid Technologies: Performativity, Place, Space: Challenging the Institutionalized Spaces of e-Science	000122	000011	000395	000090	000031	000103	000091	000524	000685	000378	https://digitalhumanities.org/dhq/vol/3/4/000076/000076.html
000077	2010	Christine L. Borgman	Professor & Presidential Chair in Information Studies, UCLA	The Digital Future is Now: A Call to Action for the Humanities	000163	000080	000090	000112	000023	000466	000031	000597	000678	000401	https://digitalhumanities.org/dhq/vol/3/4/000077/000077.html
000078	2010	Mark Hedges	Centre for e-Research, King’s College London	Grid-enabling Humanities Datasets	000163	000070	000031	000071	000090	000079	000076	000119	000540	000023	https://digitalhumanities.org/dhq/vol/3/4/000078/000078.html
000079	2010	Stuart Dunn | Tobias Blanke	Centre for e-Research, King's College London | Centre for e-Research, King's College London	Digital Humanities Quarterly Special Cluster on Arts and Humanities e-Science	000070	000078	000076	000065	000678	000411	000071	000351	000134	000477	https://digitalhumanities.org/dhq/vol/3/4/000079/000079.html
000080	2010	Patrik Svensson	HUMlab, Umeå University	The Landscape of Digital Humanities	000112	000090	000065	000186	000077	000172	000466	000248	000463	000201	https://digitalhumanities.org/dhq/vol/4/1/000080/000080.html
000081	2010	Belinda Barnet	Lecturer in Media at Swinburne University Melbourne, in association with Smart Services CRC.	Crafting the User-Centered Document Interface: The Hypertext Editing System (HES) and the File Retrieval and Editing System (FRESS)	000015	000128	000105	000501	000183	000356	000086	000135	000141	000155	https://digitalhumanities.org/dhq/vol/4/1/000081/000081.html
000082	2010	Domenico Fiormonte | Valentina Martiradonna | Desmond Schmidt	Università Roma Tre, Dipartimento di Italianistica | Università di Roma, La Sapienza | Queensland University of Technology, Information Security Institute	Digital Encoding as a Hermeneutic and Semiotic Act: The Case of Valerio Magrelli	000583	000503	000605	000073	000035	000293	000553	000029	000111	000069	https://digitalhumanities.org/dhq/vol/4/1/000082/000082.html
000083	2010	Susan Schreibman | Ann M. Hanlon	Digital Humanities Observatory | Marquette University	Determining Value for Digital Humanities Tools: Report on a Survey of Tool Developers	000136	000114	000164	000375	000536	000327	000620	000310	000374	000198	https://digitalhumanities.org/dhq/vol/4/2/000083/000083.html
000084	2010	Sarah Buchanan	The Meadows School	Accessioning the Digital Humanities: Report from the 1st Archival Education and Research Institute	000080	000151	000077	000163	000114	000379	000670	000401	000111	000172	https://digitalhumanities.org/dhq/vol/4/1/000084/000084.html
000085	2010	Doug Reside	University of Maryland, College Park	A review of Noah Wardrip-Fruin’s Expressive Processing: Digital Fictions, Computer Games, and Software Studies	000713	000501	000696	000009	000002	000080	000129	000153	000463	000222	https://digitalhumanities.org/dhq/vol/4/2/000085/000085.html
000086	2010	Sharon Irish | Wendy Plotkin	Interim Director, Community Informatics Initiative, Graduate School of Library and Information Science, University of Illinois, Urbana-Champaign | Editor-in-Chief, H-Urban	History, People, and Informatics: A Conversation between Sharon Irish and Wendy Plotkin	000321	000491	000250	000424	000320	000697	000415	000201	000266	000253	https://digitalhumanities.org/dhq/vol/4/2/000086/000086.html
000087	2010	Manuel Portela	University of Coimbra	The Machine in the Text, and the Text in the Machine	000113	000151	000378	000155	000141	000222	000152	000102	000175	000120	https://digitalhumanities.org/dhq/vol/4/1/000087/000087.html
000088	2010	Arianna Ciula	Independent Scholar	The New Edition of the Letters of Vincent van Gogh on the Web	000560	000175	000663	000019	000290	000379	000035	000111	000695	000540	https://digitalhumanities.org/dhq/vol/4/2/000088/000088.html
000089	2010	Jerome McDonough | Matthew Kirschenbaum | Doug Reside | Neil Fraistat | Dennis Jerz	Graduate School of Library and Information Science, University of Illinois at Urbana-Champaign | Maryland Institute for Technology in the Humanities, University of Maryland | Maryland Institute for Technology in the Humanities, University of Maryland | Maryland Institute for Technology in the Humanities, University of Maryland | English — New Media Journalism, Seton Hill University	Twisty Little Passages Almost All Alike: Applying the FRBR Model to a Classic Computer Game	000129	000009	000122	000101	000254	000181	000028	000293	000010	000068	https://digitalhumanities.org/dhq/vol/4/2/000089/000089.html
000090	2011	Patrik Svensson	HUMlab, Umeå University	From Optical Fiber To Conceptual Cyberinfrastructure	000080	000466	000065	000471	000112	000248	000395	000246	000396	000373	https://digitalhumanities.org/dhq/vol/5/1/000090/000090.html
000091	2011	Johanna Drucker	Breslauer Professor of Bibliographical Studies Department of Information Studies, UCLA	Humanities Approaches to Graphical Display	000556	000402	000258	000624	000547	000257	000513	000011	000122	000503	https://digitalhumanities.org/dhq/vol/5/1/000091/000091.html
000092	2011	J.J. Butts	Assistant Professor of English, Wartburg College	Missed Connections: The Collective Novel and the Metropolis	000094	000097	000096	000467	000122	000142	000457	000501	000498	000139	https://digitalhumanities.org/dhq/vol/5/2/000092/000092.html
000093	2011	Molly Gage	University of Minnesota	Winesburg, Ohio: A Modernist Kluge	000186	000172	000092	000080	000254	000135	000134	000123	000102	000351	https://digitalhumanities.org/dhq/vol/5/2/000093/000093.html
000094	2011	Wesley Beal	Lyon College	Network Narration in John Dos Passos’s U.S.A. Trilogy	000092	000097	000467	000457	000501	000142	000573	000459	000453	000175	https://digitalhumanities.org/dhq/vol/5/2/000094/000094.html
000095	2011	Wendell Piez	Senior Consultant, Mulberry Technologies, Inc.	Impractical Applications	000643	000080	000180	000135	000132	000139	000111	000201	000192	000463	https://digitalhumanities.org/dhq/vol/5/1/000095/000095.html
000096	2011	Stacy Lavin	Independent Scholar	"The Globe is All One": Wars I Have Seen as Proto-Network Narrative	000097	000146	000108	000186	000139	000158	000528	000095	000207	000069	https://digitalhumanities.org/dhq/vol/5/2/000096/000096.html
000097	2011	Wesley Beal | Stacy Lavin	Lyon College | Independent Scholar	Theorizing Connectivity: Modernism and the Network Narrative	000094	000092	000096	000093	000566	000011	000172	000207	000139	000113	https://digitalhumanities.org/dhq/vol/5/2/000097/000097.html
000098	2011	Aaron Kashtan	Department of English University of Florida	Forward to the Past: Nostalgia for Handwriting in Scribblenauts and The World Ends with You	000138	000558	000109	000129	000281	000581	000424	000125	000449	000738	https://digitalhumanities.org/dhq/vol/5/3/000098/000098.html
000099	2011	Maria Engberg | Jay David Bolter	Blekinge Institute of Technology | Georgia Institute of Technology	Digital Literature and the Modernist Problem	000046	000207	000011	000108	000109	000175	000192	000566	000718	000314	https://digitalhumanities.org/dhq/vol/5/3/000099/000099.html
000100	2011	Gregory L. Ulmer	Professor of English and Media Studies University of Florida, Gainesville	Avatar Emergency	000122	000066	000103	000002	000415	000395	000339	000331	000101	000118	https://digitalhumanities.org/dhq/vol/5/3/000100/000100.html
000101	2011	Aaron Kashtan	Department of English, University of Florida	Because It's Not There: Ekphrasis and the Threat of Graphics in Interactive Fiction	000098	000066	000002	000122	000010	000501	000165	000009	000129	000103	https://digitalhumanities.org/dhq/vol/5/1/000101/000101.html
000102	2011	Helen J. Burgess | Jeanne Hamming	University of Maryland Baltimore County | Centenary College of Louisiana	New Media in the Academy: Labor and the Production of Knowledge in Scholarly Multimedia	000087	000080	000118	000186	000713	000378	000141	000151	000351	000122	https://digitalhumanities.org/dhq/vol/5/3/000102/000102.html
000103	2011	Brian Greenspan	Carleton University	The New Place of Reading: Locative Media and the Future of Narrative	000386	000378	000118	000076	000619	000344	000685	000574	000109	000194	https://digitalhumanities.org/dhq/vol/5/3/000103/000103.html
000104	2011	John Cayley	Brown University	Writing to be Found and Writing Readers	000069	000705	000599	000492	000151	000053	000382	000124	000634	000707	https://digitalhumanities.org/dhq/vol/5/3/000104/000104.html
000105	2011	Phillip H. Gochenour	Towson University	Nodalism	000069	000629	000015	000560	000128	000096	000186	000081	000599	000011	https://digitalhumanities.org/dhq/vol/5/3/000105/000105.html
000106	2011	Paul Fyfe	Florida State University	Digital Pedagogy Unplugged	000315	000310	000174	000394	000419	000311	000443	000303	000358	000112	https://digitalhumanities.org/dhq/vol/5/3/000106/000106.html
000107	2011	James Smithies	University of Canterbury, New Zealand	A View from IT	000031	000090	000163	000678	000411	000080	000248	000689	000463	000071	https://digitalhumanities.org/dhq/vol/5/3/000107/000107.html
