title,source_type,source,google_books_return,unique_id,auth1_first,auth1_last,field,first_pub_date,born_digital
The Madwoman in the Attic: The Woman Writer and the Nineteenth-Century Literary Imagination,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,43,Sandra,Gilbert,Feminism,1979,Born Digital
Black Looks: Race and Representation,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,44,bell,hooks,Feminism | Black Studies,1992,Born Digital
Psychoanalysis and Feminism,Google Books,GOOGLE_BOOKS,DIGI-SCAN,45,J,Mitchell,Feminism,1974,Digitized
In Other Worlds: Essays in Cultural Politics,Ebook,EBOOK_PURCHASED,DIGI-SENT,46,Gayatri Chakravorty,Spivak,Feminism,1987,Born Digital
Gender Trouble: Feminism and the Subversion of Identity,Ebook,EBOOK_PURCHASED,FALSE,47,Judith,Butler,Feminism | Poststructuralism,1990,Born Digital
"""Throwing Like a Girl: A Phenomenology of Feminine Body Comportment, Motility, and Spatiality""",Article,ARTICLE,FALSE,48,Iris Marion,Young,Feminism,1980,Born Digital
Queer Phenomenology,Ebook,DUKE_UP,FALSE,49,Sara,Ahmed,Feminism,2006,Born Digital
Sister Outsider: Essays and Speeches,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,50,Audre,Lorde,Feminism | Black Studies,1984,Born Digital
The Souls of Black Folk,Ebook,PUBLIC_DOMAIN,FALSE,52,W.E.B.,Du Bois,Black Studies,1903,Born Digital
Philosophy and Opinions of Marcus Garvey,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,53,Marcus,Garvey,Black Studies,1923,Born Digital
The New Negro,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,54,,,Black Studies,1925,Born Digital
The Mis-Education of the Negro,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,55,Carter Godwin,Woodson,Black Studies,1933,Born Digital
The Myth of the Negro Past,Google Books,GOOGLE_BOOKS,DIGI-SCAN,56,Melville,Herskovits,Black Studies,1941,Digitized
Deep South: A Social Anthropological Study of Caste and Class,Google Books,GOOGLE_BOOKS,DIGI-SCAN,57,Allison,Davis,Black Studies,1941,Digitized
Discourse on Colonialism,Ebook,EBOOK_PURCHASED,DIGI-SCAN,58,Aimé,Césaire,Black Studies | Postcolonial,1950,Born Digital
The Wretched of the Earth,Ebook,EBOOK_PURCHASED,DIGI-SENT,60,Frantz,Fanon,Black Studies | Postcolonial,1961,Born Digital
The Fire Next Time,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,61,James,Baldwin,Black Studies,1963,Born Digital
Black Power: The Politics of Liberation,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,62,Kwame,Ture,Black Studies,1967,Born Digital
Kawaida Studies: The New Nationalism,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,63,Amiri,Baraka,Black Studies,1972,Born Digital
How Europe Underdeveloped Africa,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,64,Walter,Rodney,Black Studies | Postcolonial,1972,Born Digital
The African Origin of Civilization: Myth or Reality,Ebook,EBOOK_PURCHASED,FALSE,65,Cheikh Anta,Diop,Black Studies,1955,Born Digital
A Black Feminist Statement,Article,ARTICLE,FALSE,66,,Combahee River Collective,Black Studies | Feminism,1977,Born Digital
Talkin and Testifyin: The Language of Black America,Print,LIBRARY_SCAN,FALSE,67,Geneva,Smitherman,Black Studies,1977,Digitized
Ain't I a Woman?: Black Women and Feminism,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,68,bell,hooks,Black Studies,1981,Born Digital
"Women, Race and Class",Google Books,GOOGLE_BOOKS,DIGI-SCAN,69,Angela,Davis,Black Studies,1981,Digitized
Slavery and Social Death: A Comparative Study,Ebook,EBOOK_PURCHASED,DIGI-SCAN,70,Orlando,Patterson,Black Studies,1982,Born Digital
"All the Women Are White, All the Blacks Are Men, But Some of Us Are Brave: Black Women's Studies",Ebook,EBOOK_PURCHASED,FALSE,71,,,Black Studies,1982,Born Digital
"How Capitalism Underdeveloped Black America: Problems in Race, Political Economy, and Society",Ebook,PURCHASED_EBOOK,DIGI-SCAN,73,Manning,Marable,Black Studies,1983,Born Digital
In Search of Our Mothers' Gardens: Womanist Prose,Print,LIBRARY_SCAN,FALSE,74,Alice,Walker,Black Studies | Feminism,1983,Digitized
Feminist Theory: From Margin to Center,Google Books,GOOGLE_BOOKS,DIGI-SCAN,76,bell,hooks,Black Studies,1984,Digitized
"Blues, Ideology, and Afro-American Literature: A Vernacular Theory",Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,77,Houston A.,"Baker, Jr.",Black Studies,1984,Born Digital
The Race for Theory,Article,ARTICLE,FALSE,78,Barbara,Christian,Black Studies,1987,Born Digital
The Afrocentric Idea,Ebook,EBOOK_PURCHASED,FALSE,79,Molefi Kete,Asante,Black Studies,1987,Born Digital
There Ain't No Black in the Union Jack: The Cultural Politics of Race and Nation,Ebook,EBOOK_PURCHASED,FALSE,80,Paul,Gilroy,Black Studies,1987,Born Digital
Reconstructing womanhood: The emergence of the Afro-American woman novelist,Ebook,EBOOK_PURCHASED,FALSE,81,Hazel,Carby,Black Studies,1987,Born Digital
The Signifying Monkey: A Theory of African-American Literary Criticism,Ebook,EBOOK_PURCHASED,FALSE,82,Henry Louis,"Gates, Jr.",Black Studies,1988,Born Digital
"Demarginalizing the Intersection of Race and Sex: A Black Feminist Critique of Antidiscrimination Doctrine, Feminist Theory, and Antiracist Politics,",Article,ARTICLE,FALSE,83,Kimberlé,Crenshaw,Black Studies,1989,Born Digital
"Talking Back: Thinking Feminist, Thinking Black",Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,84,bell,hooks,Black Studies,1989,Born Digital
"Beyond Miranda's Meanings: Un/silencing the ""Demonic Ground"" of Caliban's ""Woman""",Article,CHAPTER,FALSE,85,Sylvia,Wynter,Black Studies,1990,Born Digital
"Black Feminist Thought: Knowledge, Consciousness, and the Politics of Empowerment",Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,87,Patricia Hill,Collins,Black Studies,1990,Born Digital
Playing in the Dark: Whiteness and the Literary Imagination,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,88,Toni,Morrison,Black Studies,1992,Born Digital
"Race, Class, and Gender: An Anthology",Google Books,GOOGLE_BOOKS,DIGI-SCAN,89,,,Black Studies,1992,Digitized
In My Father's House: Africa in the Philosophy of Culture,Google Books,GOOGLE_BOOKS,DIGI-SCAN,91,Kwame Anthony,Appiah,Black Studies,1992,Digitized
African-American Women's History and the Metalanguage of Race,Article,ARTICLE,FALSE,92,Evelyn Brooks,Higginbotham,Black Studies,1992,Born Digital
The Black Atlantic: Modernity and Double Consciousness,Print,LIBRARY_SCAN,FALSE,93,Paul,Gilroy,Black Studies | Postcolonial,1993,Digitized
Race Matters,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,94,Cornel,West,Black Studies,1993,Born Digital
"Black Women, Writing and Identity: Migrations of the Subject",Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,95,Carole Boyce,Davies,Black Studies,1994,Born Digital
Open Letter from Assata Shakur,Article,ARTICLE,FALSE,97,Assata,Shakur,Black Studies,1998,Born Digital
Race Men,Ebook,EBOOK_PURCHASED,FALSE,98,Hazel,Carby,Black Studies,1998,Born Digital
Blackness and Value: Seeing Double,Ebook,EBOOK_PURCHASED,FALSE,99,Lindon,Barrett,Black Studies,1999,Born Digital
"""Towards the Sociogenic Principle: Fanon, The Puzzle of Conscious Experience, of “Identity” and What it’s Like to be “Black”,"" in National Identities and Socio-Political Changes in Latin America",Print,OVERHEAD_SCAN,FALSE,100,Sylvia,Wynter,Black Studies,2001,Digitized
Freedom Dreams: The Black Radical Imagination,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,101,Robin D. G.,Kelley,Black Studies,2002,Born Digital
"Constructing the Black masculine: Identity and ideality in African American men's literature and culture, 1775–1995",Ebook,DUKE_UP,FALSE,102,Maurice,Wallace,Black Studies,2002,Born Digital
"Black, White, and in Color: Essays on American Literature and Culture",Print,LIBRARY_SCAN,FALSE,103,Hortense,Spillers,Feminism | Black Studies,2003,Digitized
"Unsettling the coloniality of being/power/truth/freedom: Towards the human, after man, its overrepresentation—An argument",Article,ARTICLE,FALSE,104,Sylvia,Wynter,Black Studies,2003,Born Digital
In the Break: The Aesthetics of the Black Radical Tradition,Ebook,,FALSE,105,Fred,Moten,Black Studies,2003,Born Digital
Black like Who?: Writing Black Canada,Print,DESTRUCTIVE_SCAN,FALSE,106,Rinaldo,Walcott,Black Studies,1997,Digitized
Conscripts of Modernity: The Tragedy of Colonial Enlightenment,Ebook,DUKE_UP,FALSE,107,David,Scott,Black Studies,2004,Born Digital
"Black Sexual Politics: African Americans, Gender, and the New Racis",Ebook,EBOOK_PURCHASED,FALSE,108,Patricia HIll,Collins,Black Studies,2004,Born Digital
"Specters of the Atlantic: Finance Capital, Slavery, and the Philosophy of History",Ebook,DUKE_UP,FALSE,109,Ian,Baucom,Black Studies,2005,Born Digital
Demonic Grounds: Black Women and the Cartographies of Struggle,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,110,Katherine,McKittrick,Black Studies,2006,Born Digital
Lose Your Mother: A Journey Along the Atlantic Slave Route,Ebook,INDIVIDUAL_EBOOK_PURCHASE,FALSE,111,Saidiya,Hartman,Black Studies,2007,Born Digital
Toward a Global Idea of Race,Ebook,EBOOK_PURCHASED,DIGI-SENT,112,Denise Ferreire,da Silva,Black Studies,2007,Born Digital
Amalgamation Schemes: Antiblackness and the Critique of Multiracialism,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,113,Jared,Sexton,Black Studies,2008,Born Digital
"Extravagant abjection: Blackness, power, and sexuality in the African American literary imagination",Ebook,EBOOK_PURCHASED,FALSE,114,Darieck,Scott,Black Studies,2010,Born Digital
A Map to the Door of No Return: Notes to Belonging,Print,LIBRARY_SCAN,FALSE,115,Dionne,Brand,Black Studies,2001,Digitized
"Habeas Viscus: Racializing Assemblages, Biopolitics, and Black Feminist Theories of the Human",Ebook,DUKE_UP,FALSE,116,Alexander,Weheliye,Black Studies,2014,Born Digital
Dark Matters: On the Surveillance of Blackness,Ebook,DUKE_UP,FALSE,117,Simone,Browne,Black Studies,2015,Born Digital
Sylvia Wynter: On Being Human as Praxis,Ebook,DUKE_UP,FALSE,118,,,Black Studies,2015,Born Digital
Between the World and Me,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,119,Ta-Nehisi,Coates,Black Studies,2015,Born Digital
In the Wake: On Blackness and Being,Ebook,DUKE_UP,FALSE,120,Christina,Sharpe,Black Studies,2016,Born Digital
Black on Both Sides: A Racial History of Trans Identity,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,121,C. Riley,Snorton,Black Studies,2017,Born Digital
Black Feminist Theory for the Dead and Dying,Article,ARTICLE,FALSE,122,Patrice,Douglas,Black Studies,2018,Born Digital
Essential Essays: Identity and Diaspora,Ebook,DUKE_UP,FALSE,123,Stuart,Hall,Black Studies,2019,Born Digital
The Black Shoals: Offshore Formation of Black and Native Studies,Ebook,DUKE_UP,FALSE,124,Tiffany Lethabo,King,Black Studies,2019,Born Digital
Race After Technology: Abolitionist Tools for the New Jim Code,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,125,Ruha,Benjamin,Black Studies,2019,Born Digital
Afropessimism,Print,LIBRARY_SCAN,FALSE,126,Frank B.,Wilderson III,Black Studies,2020,Digitized
Abolition Geography: Essays Towards Liberation,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,127,Ruth Wilson,Gilmore,Black Studies,2022,Born Digital
"We Must Learn to Sit Down Together and Talk About a Little Culture: Decolonizing Essays, 1967-1984",Print,LIBRARY_SCAN,FALSE,128,Sylvia,Wynter,Black Studies,2022,Digitized
The Communist Manifesto,Google Books,GOOGLE_BOOKS,DIGI-SCAN,129,Karl,Marx,Marxism,1848,Digitized
The Eighteenth Brumaire of Louis Napoleon,Ebook,PUBLIC_DOMAIN,FALSE,130,Karl,Marx,Marxism,1852,Born Digital
Capital,Ebook,PUBLIC_DOMAIN,FALSE,131,Karl,Marx,Marxism,1867,Born Digital
History and Class Consciousness: Studies in Marxist Dialectics,Print,DESTRUCTIVE_SCAN,FALSE,133,Georg,Lukacs,Marxism,1923,Digitized
The Prison Notebooks,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,134,Antonio,Gramsci,Marxism,1948,Born Digital
Illusion and Reality: A Study of the Sources of Poetry,Print,LIBRARY_SCAN,FALSE,135,Christopher,Caudwell,Marxism,1937,Digitized
Dialectic of Enlightenment,Ebook,EBOOK_PURCHASED,FALSE,136,Max,Horkheimer,Marxism,1947,Born Digital
The Principle of Hope,Ebook,EBOOK_PURCHASED,FALSE,137,Ernst,Bloch,Marxism,1954,Born Digital
Marxism and Freedom: From 1776 until Today,Google Books,GOOGLE_BOOKS,DIGI-SCAN,138,Raya,Dunayevskaya,Marxism,1958,Digitized
Notes to Literature,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,139,Theodor,Adorno,Marxism,1958,Born Digital
One-Dimensional Man,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,140,Herbert,Marcuse,Marxism,1964,Born Digital
For Marx,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,141,Louis,Althusser,Marxism,1965,Born Digital
Reading Capital,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,142,Louis,Althusser,Marxism,1965,Born Digital
Negative Dialectics,Print,DESTRUCTIVE_SCAN,FALSE,143,Theodor,Adorno,Marxism,1966,Digitized
Aesthetic Theory,Ebook,EBOOK_PURCHASED,FALSE,144,Theodor,Adorno,Marxism,1970,Born Digital
Romance and Realism: A Study in English Bourgeoise Literature,Ebook,EBOOK_PURCHASED,DIGI-SENT,145,Christopher,Caudwell,Marxism,1970,Born Digital
Marxism and Form: Twentieth-Century Dialectical Theories of Literature,Ebook,INDIVIDUAL_EBOOK_PURCHASE,FALSE,146,Frederic,Jameson,Marxism,1971,Born Digital
The Prison House of Language: A Critical Account of Structuralism and Russian Formalism,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,147,Frederic,Jameson,Marxism,1972,Born Digital
Crisis and Criticism and Selected Literary Essays,Print,LIBRARY_SCAN,FALSE,149,Alick,West,Marxism,1975,Digitized
Keywords: A Vocabulary of Culture and Society,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,150,Raymond,Williams,Marxism,1976,Born Digital
Criticism and Ideology,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,151,Terry,Eagleton,Marxism,1976,Born Digital
Marxism and Literature,Print,LIBRARY_SCAN,FALSE,152,Raymond,Williams,Marxism,1977,Digitized
The Aesthetic Dimension,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,153,Herbert,Marcuse,Marxism,1977,Born Digital
On the Dictatorship of the Proletariat,Print,LIBRARY_SCAN,FALSE,154,Étienne,Balibar,Marxism,1976,Digitized
A Theory of Literary Production,Google Books,GOOGLE_BOOKS,DIGI-SCAN,155,Pierre,Macherey,Marxism,1966,Digitized
"""Women's Writing: Jane Eyre, Villette, Aurora Leigh,"" in Marxist literary theory : a reader",Print,LIBRARY_SCAN,FALSE,156,,The Marxist-Feminist Literature Collective,Marxism,1978,Digitized
Formalism and Marxism,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,157,Tony,Bennett,Marxism,1979,Born Digital
The Political Unconscious: Narrative as Socially Symbolic Act,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,158,Frederic,Jameson,Marxism,1981,Born Digital
"Women, Race, and Class",Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,159,Angela,Davies,Marxism,1981,Born Digital
Writing in Society,Print,LIBRARY_SCAN,FALSE,160,Raymond,Williams,Marxism,1983,Digitized
Marxism and the Oppression of Women: Towards a Unitary Theory,Ebook,EBOOK_PURCHASED,FALSE,161,Lise,Vogel,Marxism,1983,Born Digital
Marxism and Literary History,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,162,John,Frow,Marxism,1986,Born Digital
"Late Marxism: Adorno, or, The Persistence of the Dialectic",Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,163,Frederic,Jameson,Marxism,1990,Born Digital
The Ideology of the Aesthetic,Print,LIBRARY_SCAN,FALSE,164,Terry,Eagleton,Marxism,1990,Digitized
Against Postmodernism: A Marxist Critique,Print,LIBRARY_SCAN,FALSE,165,Alex,Callinicos,Marxism,1989,Digitized
"Postmodernism, or, The Cultural Logic of Late Capitalism",Ebook,DUKE_UP,FALSE,166,Frederic,Jameson,Marxism,1991,Born Digital
On the Reproduction of Capitalism,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,167,Louis,Althusser,Marxism,1995,Born Digital
The Object of Literature,Print,LIBRARY_SCAN,FALSE,168,Pierre,Macherey,Marxism,1990,Digitized
The Philosophy of Marx,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,169,Étienne,Balibar,Marxism,1993,Born Digital
Women Questions: Essays for a Materialist Feminism,Google Books,GOOGLE_BOOKS,DIGI-SCAN,170,Lise,Vogel,Marxism,1995,Digitized
The Illusions of Postmodernism,Ebook,INDIVIDUAL_EBOOK_PURCHASE,FALSE,171,Terry,Eagleton,Marxism,1996,Born Digital
A World to Win: Essays on the Communist Manifesto,Print,LIBRARY_SCAN,FALSE,172,Aijaz,Ahmad,Marxism,1999,Digitized
Marxist Literary and Cultural Theories,Print,LIBRARY_SCAN,FALSE,173,Moyra,Haslett,Marxism,2000,Digitized
Archaeologies of the Future: The Desire Called Utopia and Other Science Fictions,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,174,Frederic,Jameson,Marxism,2005,Born Digital
Philosophical Trends in the Feminist Movement,Ebook,CC-BY-SA,FALSE,175,Anuradha,Ghandy,Marxism,2006,Born Digital
"Making History: Agency, Structure, and Change in Social Theory",Ebook,EBOOK_PURCHASED,FALSE,176,Alex,Callinicos,Marxism,2004,Born Digital
The Revolutionary Ideas of Karl Marx,Ebook,EBOOK_PURCHASED,FALSE,177,Alex,Callinicos,Marxism,1983,Born Digital
Marxist Literary Criticism Today,Ebook,EBOOK_PURCHASED,FALSE,178,Barbara,Foley,Marxism,2019,Born Digital
The Interpretation of Dreams,Ebook,PUBLIC_DOMAIN,FALSE,179,Sigmund,Freud,Psychoanalysis,1899,Born Digital
Three Essays on the Theory of Sexuality,Ebook,PUBLIC_DOMAIN,,180,Sigmund,Freud,Psychoanalysis,1905,Born Digital
Totem and Taboo: Resemblances between the Psychic Lives of Savages and Neurotics,Google Books,GOOGLE_BOOKS,DIGI-SCAN,181,Sigmund,Freud,Psychoanalysis,1913,Digitized
Mourning and Melancholia,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,182,Sigmund,Freud,Psychoanalysis,1917,Born Digital
The Uncanny,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,183,Sigmund,Freud,Psychoanalysis,1919,Born Digital
Beyond the Pleasure Principle,Ebook,PUBLIC_DOMAIN,,184,Sigmund,Freud,Psychoanalysis,1920,Born Digital
Civilization and its Discontents,Google Books,GOOGLE_BOOKS,,185,Sigmund,Freud,Psychoanalysis,1930,Digitized
On the Nightmare,Print,LIBRARY_SCAN,FALSE,186,Ernest,Jones,Psychoanalysis,1931,Digitized
The Oedipus-Complex as an Explanation of Hamlet's Mystery,Article,ARTICLE,FALSE,187,Ernest,Jones,Psychoanalysis,1910,Born Digital
Hamlet and Oedipus,Print,DESTRUCTIVE_SCAN,DIGI-SENT,188,Ernest,Jones,Psychoanalysis,1949,Digitized
The Influence of oral eroticism on character formation,Article,ARTICLE,FALSE,189,Karl,Abraham,Psychoanalysis,1925,Born Digital
Contributions to the theory of the anal character,Article,ARTICLE,FALSE,190,Karl,Abraham,Psychoanalysis,1923,Born Digital
Amenhotep IV. Psycho-analytical Contributions Towards the understanding of his Personality and of the Monotheistic Cult of Aton.,Ebook,ARTICLE,FALSE,191,Karl,Abraham,Psychoanalysis,1912,Born Digital
Psychology of the Unconscious,Ebook,PUBLIC_DOMAIN,FALSE,192,Carl,Jung,Psychoanalysis,1912,Born Digital
Psychological Types,Ebook,EBOOK_PURCHASED,FALSE,193,Carl,Jung,Psychoanalysis,1921,Born Digital
The Myth of the Birth of the Hero,Google Books,GOOGLE_BOOKS,FALSE,194,Rank,Otto,Psychoanalysis,1909,Digitized
The Trauma of Birth,Ebook,EBOOK_PURCHASED,DIGI-SENT,195,Rank,Otto,Psychoanalysis,1924,Born Digital
Art and Artist,Ebook,SUL_SCAN_EXPECTED,FALSE,196,Rank,Otto,Psychoanalysis,1932,Born Digital
Écrits,Print,LIBRARY_SCAN,FALSE,197,Jacques,Lacan,Psychoanalysis,1966,Digitized
Freud and Philosophy: An Essay on Interpretation,Print,LIBRARY_SCAN,FALSE,198,Paul,Ricoeur,Psychoanalysis,1965,Digitized
Eros and Civlization,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,199,Herbert,Marcuse,Psychoanalysis,1965,Born Digital
Life Against Death: The Psychoanalytical Meaning of History,Google Books,GOOGLE_BOOKS,DIGI-SCAN,200,Norman,Brown,Psychoanalysis,1959,Digitized
The Anxiety of Influence: A Theory of Poetry,Print,LIBRARY_SCAN,FALSE,201,Harold,Bloom,Psychoanalysis,1973,Digitized
A Map of Misreading,Print,LIBRARY_SCAN,FALSE,202,Harold,Bloom,Psychoanalysis,1975,Digitized
The Sublime Object of Ideology,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,203,Slavoj,Žižek,Psychoanalysis,1989,Born Digital
Speculum of the Other Woman,Google Books,GOOGLE_BOOKS,DIGI-SCAN,205,Luce,Irigaray,Psychoanalysis,1975,Digitized
This Sex Which Is Not One,Print,DESTRUCTIVE_SCAN,DIGI-SENT,206,Luce,Irigaray,Psychoanalysis | Post-Structuralism,1977,Digitized
Powers of Horror: An Essay on Abjection,Print,LIBRARY_SCAN,FALSE,207,Julia,Kristeva,Psychoanalysis | Post-Structuralism,1980,Digitized
Revolution in Poetic Language,Print,LIBRARY_SCAN,FALSE,208,Julia,Kristeva,Psychoanalysis,1974,Digitized
Visual Pleasure and Narrative Cinema,Article,ARTICLE,FALSE,209,Laura,Mulvey,Psychoanalysis,1975,Born Digital
Writing and Madness: Literature/Philosophy/Psychoanalysis,Ebook,EBOOK_PURCHASED,FALSE,210,Shoshona,Felman,Psychoanalysis | Poststructuralism,1985,Born Digital
Testimony: Crises of Witnessing in Literature Psychoanalysis and History,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,211,Shoshona,Felman,Psychoanalysis,1992,Born Digital
