article id	author	year	title	journal/conference/collection	abstract	reference IDs	isDHQ
000011	Anderson, Steve F.	2007	Aporias of the Digital Avant-Garde	Digital Humanities Quarterly	This article maps two divergent trajectories within a narrowly defined sphere of short-form, time-based digital media created between 1995 and 2005. These works are considered in relation to the historical avant-garde - particularly the Structural film movement of the 1960s and 70s - and analyzed as responses to a range of cultural concerns specific to the digital age. The analysis identifies movement toward two terminal points: first, a mode of remix-based montage inspired by open source programming communities and peer-to- peer networks; and second, the emergence of a mode of imaging termed the digital analogue, which foregrounds the material basis of digital production.	bukatman2003 | cae2001 | cae2002 | crary1990 | darley2000 | enzensberger1974 | greenwald2004 | james1989 | kittler1999 | krauss1993 | lunenfeld2000 | manovich1999 | manovich2001 | marks2000 | nichols1991 | weibel2002 | willis2005	1	
000012	Hoover, David	2007	The End of the Irrelevant Text: Electronic Texts, Linguistics, and Literary Theory	Digital Humanities Quarterly	The close study of literary texts has a long and illustrious history. But the popularity of textual analysis has waned in recent decades, just at the time that widely available electronic texts were making traditional analytic tools easier to apply and encouraging the development of innovative computer-assisted tools. Without claiming any simple causal relationship, I argue that the marginalization of textual analysis and other text-centered approaches owes something to the dominance of Chomskyan linguistics and the popularity of high theory. Certainly both an introspective, sentence-oriented, formalist linguistic approach and literary theories deeply influenced by ideas about the sign's instability and the tendency of texts to disintegrate under critical pressure minimize the importance of the text. Using examples from Noam Chomsky, Jerome McGann, and Stanley Fish, I argue for a return to the text, specifically the electronic, computable text, to see what corpora, text-analysis, statistical stylistics, and authorship attribution can reveal about meanings and style. The recent resurgence of interest in scholarly editions, corpora, text- analysis, stylistics, and authorship suggest that the electronic text may finally reach its full potential.	addison1694 | biber1995 | bnc2001 | boswell1791 | bosworth1898 | bradford1647 | burrows2002a | burrows2002b | burrows2007 | chomsky1975 | chomsky1986 | chomsky2000 | cooper1840 | davies2007b | dickens1858 | faulkner1978 | fish1980 | goldfield2006 | golding1955 | griffith1896 | halliday1981 | hoover1999 | hoover2004a | hoover2004b | hoover2004c | hoover2006 | hoover2007a | hume1748 | louw1993 | mcgann2004b | more1914 | morris1895 | pope1715 | sampson2005 | shillingsburg2006 | sinclair2003a | sinclair2004 | stubbs1996 | swift1726 | trillin1998	1	
000049	Gordon, Eric | Bogen, David	2009	Designing Choreographies for the New Economy of Attention	Digital Humanities Quarterly	The nature of the academic lecture has changed with the introduction of wi-fi and cellular technologies. Interacting with personal screens during a lecture or other live event has become commonplace and, as a result, the economy of attention that defines these situations has changed. Is it possible to pay attention when sending a text message or surfing the web? For that matter, does distraction always detract from the learning that takes place in these environments? In this article, we ask questions concerning the texture and shape of this emerging economy of attention. We do not take a position on the efficiency of new technologies for delivering educational content or their efficacy of competing for users’ time and attention. Instead, we argue that the emerging social media provide new methods for choreographing attention in line with the performative conventions of any given situation. Rather than banning laptops and phones from the lecture hall and the classroom, we aim to ask what precisely they have on offer for these settings understood as performative sites, as well as for a culture that equates individual attentional behavior with intellectual and moral aptitude.	bauerlein2007 | benjamin1986 | billinghurst2002 | billinghurst2007 | ccs2007 | cole2007 | crary1999 | edmundson2008 | goffman1981 | harry2008 | lanham1997 | lanham2006 | liang2005 | meyrowitz1985 | munsterberg1909 | page2005 | simmel1971 | thaler2008 | thaler2008a | winner2009	1	
000050	Earhart, Amy | Ives, Maura	2009	Introduction	Digital Humanities Quarterly		unsworth2006 | zorich2008 | udl	1	
000051	Robinson, Peter M. W.	2009	The Ends of Editing	Digital Humanities Quarterly	Many ends of editing in the digital world may be distinguished. One may speak of end as in the supersession of one model of editing (the intentionalist, definitive-text model) by another (the multiple texts, multiply-intentioned views enabled by digital methods). One may speak of end as in aim: not only the aim of the author or authors, but also the aims of the editor or editors. These questions were already complicated in the print world; the advent of digital methods has both focussed and widened the contests around these concepts. The essay reviews some of these questions, with examples drawn from (inter alia) the utterances of the two George Bushes, from editions with which the author is associated of Chaucer, Dante, and of Armenian texts, from the eColi genome, and from Barack Obama's discussion of different viewpoints on the Constitution of the United States. The essay concludes that a huge shift is indeed underway in the editing world, towards a more open and participatory model of editing and reading.	current2007 | given2005 | greetham1992 | marcus1996 | mcleod1982 | mcgann1983 | mckenzie1985 | obama2008 | robinson1996 | robinson1997 | robinson2000 | robinson2005 | shaw2006 | shillingsburg1996 | shillingsburg2006 | sperberg1996 | warren1989 | weitenberg2007 | where2004	1	
000052	Eaves, Morris	2009	Picture Problems: X-Editing Images 1992-2010	Digital Humanities Quarterly	After centuries of image deprivation, we now bathe in a sea of pictures, most of them digitized at some stage. In the 1990s, as humanists began to sense the advantages of networked computing on the web, they conceived major new editorial projects that would depend to an extraordinary degree upon the documentary power of pictures. Despite evident progress in devising sturdy and responsive standards, images, and tools, stubborn problems persist in several key areas that are explored here through an overview of issues that arise as the William Blake Archive acquires images, prepares them for reproduction, and makes them available for manipulation by its users. Editing electronic images in so unsettled and unsettling an environment generates the provisional success — weak success — that is utterly characteristic of X-editing, electronic scholarly editing in our time. Our dependence on current technology and the expertise of others is not a remediable condition. We must play the game as it presents itself, making the compromises that are necessary, and move ahead.	bielstein2006 | bindman | claburn2008 | cerf2008 | child2006 | eaves2006 | erdman1988 | fuchs | howard2006 | jaschik2008 | mihm2006 | misic2003 | misic2002a | misic2002b | preston2005 | robinson1993 | thomas2007 | waal | wikipedia | william	1	
000053	Price, Kenneth M.	2009	Edition, Project, Database, Archive, Thematic Research Collection: What's in a Name?	Digital Humanities Quarterly	What are the implications of the terms we use to describe large-scale text-based electronic scholarship, especially undertakings that share some of the ambitions and methods of the traditional multi-volume scholarly edition? And how do the conceptions inherent in these choices of language frame and perhaps limit what we attempt? How do terms such as edition, project, database, archive, and thematic research collection relate to the past, present, and future of textual studies? Kenneth M. Price considers how current terms describing digital scholarship both clarify and obscure our collective enterprise. Price argues that the terms we use have more than expressive importance. The shorthand we invoke when explaining our work to others shapes how we conceive of and also how we position digital scholarship.	allen1963 | beckett1969 | beckett1970 | emerson | folsom1982 | folsom2007 | folsom1999 | higginson1903 | hindus1955 | light2002 | macneil2005 | mcgann2007 | palmer2004 | price2007 | queneau1961 | reynolds1995 | shillingsburg2006 | stauffer2007 | whitman1978 | yakel2003	1	
000054	Shillingsburg, Peter	2009	How Literary Works Exist: Convenient Scholarly Editions	Digital Humanities Quarterly	This is the second of two essays on the nature of electronic representations of literary texts, the first focusing primarily on the original textual material and the materiality of literary works, and the present essay focusing first on the nature of the electronic surrogates to those material forms and, second, on the ways our decisions about how to create them can be affected by our notions of use.	elliott2005 | marten1975 | peckham1977 | peckham1975 | shillingsburg | shillingsburg2006 | siemens2005	1	
000055	Flanders, Julia	2009	The Productive Unease of 21st-century Digital Scholarship	Digital Humanities Quarterly	Despite prevailingly progressive narratives surrounding the impact of digital technology on modern academic culture, the field of digital humanities is characterized at a deeper level by a more critical engagement with technology. This engagement, which I characterize as a kind of productive unease, is focused around issues of representation, medium, and structures of scholarly communication.	flanders1999 | liu2004 | liu2003 | mla2002 | shillingsburg1993 | unsworth2002	1	
000056	Bjork, Olin	2009	Reinventing the Classroom Edition: Paradise Lost Book IX Flash Audiotext	Digital Humanities Quarterly			1	
000057	Earhart, Amy	2009	Mapping Concord: Google Maps and the 19th-Century Concord Digital Archive	Digital Humanities Quarterly			1	
000058	Lyman, Eugene	2009	May the Text Rise up to Meet You: New Ways of Reading Old Manuscripts	Digital Humanities Quarterly			1	
000059	Mandell, Laura	2009	The Poetess Archive Database	Digital Humanities Quarterly			1	
000060	Roundtree, Aimee	2009	Simulated Visuals: Some Rhetorical and Ethical Implications	Digital Humanities Quarterly			1	
000061	Urbina, Eduardo | Furuta, Richard | Smith, Steven E.	2009	Cervantes Project: The Digital Quixote Iconography Collection	Digital Humanities Quarterly			1	
000062	Raabe, Wesley	2009	Over Uncle Tom's Dead Body: Publication Context and Textual Variation in Harriet Beecher Stowe's Uncle Tom's Cabin	Digital Humanities Quarterly			1	
000063	Giglio, Katheryn | Venecek, John	2009	The Radical Historicity of Everything: Exploring Shakespearean Identity with Web 2.0	Digital Humanities Quarterly	This article presents the results of a semester-long project designed to determine how effectively interactive Web 2.0 technology can facilitate collaborative research in undergraduate learners. The study was conducted during a 2007 advanced Shakespeare course at the University of Central Florida that focused heavily on a new historicist approach to studying literature. In this paper we first establish the theoretical foundation for this particular approach to literary studies, then discuss more in-depth how the collaborative, inter-connective nature of wikis allowed students to witness first-hand some of the concealed assumptions enmeshed in the creation of historical explanation or narrative. We also discuss how, in thinking about the past, this technology allowed our students realize some of the stakes in describing history for the present. In other words, having students create wikis based on the social identities that recur in Shakespeare’s works developed an implicit awareness of motives for doing history. We also show how employing open source technology in a localized classroom setting can assuage some of the gaps we experience in trying to provide enough period coverage while also attending to theoretical apparatus and students’ experience of meaningful connections to material. On a larger scale, creating inquiry-based projects can alleviate some of the humanities’ disengagement from the real world that many have been suggesting of late.	brent1997 | calandra2005 | davidson2008 | davis2001 | davis2002 | desilets2005 | dwight2003 | farabaugh2007 | fullbrook2002 | jameson1981 | hilton2006 | lanier2006 | martin2008 | mason2007 | pennell2008 | radway2004 | read2007 | robinson2004 | schroeder2008 | schultz2001 | shakespeare2005 | stanley2005 | trimbur1989 | ulin2007 | weiner2007 | zuern2004	1	
000064	McDonough, Jerome	2009	XML, Interoperability and the Social Construction of Markup Languages: The Library Example	Digital Humanities Quarterly	The past decade has seen XML widely adopted within a variety of communities, including the digital library community. While it now plays a critical role in the infrastructure of many digital library operations, XML's promise of interoperability of data across systems and organizations has not been fully realized within digital libraries. The reasons for this are not primarily technical in origin, but social, and relate to the cultures of XML's designers and XML language implementors, and a failure on the part of the digital library community to grapple with the sociotechnical nature of XML and its implementation. Possible strategies for addressing these issues of interoperability might include reduction of the flexibility afforded by specific XML-based markup languages used by the digital library community, and an increased focus on standardizing translations between various communities of practice use of such markup languages.	akrich1992 | bosak1997 | bosak1998 | bosak1999 | dilauro2005 | goodger2001 | hillmann2005 | hurley1999 | irs2007 | keith2005 | kendall2007 | kott2006 | littmann2006 | loc2006 | loc2008 | nelson2005 | renear2001 | seaman2003 | shirky2005 | shreeves2005 | berkeley1997 | wwwc1998 | wwwc1999a | wwwc1999b	1	
000065	Svensson, Patrik	2009	Humanities Computing as Digital Humanities	Digital Humanities Quarterly	This article presents an examination of how digital humanities is currently conceived and described, and examines the discursive shift from humanities computing to digital humanities. It is argued that this renaming of humanities computing as digital humanities carries with it a set of epistemic commitments that are not necessarily compatible with a broad and inclusive notion of the digital humanities. In particular, the author suggests that tensions arise from the instrumental, textual and methodological focus of humanities computing as well as its relative lack of engagement with the digital as a study object. This article is the first in a series of four articles attempting to describe and analyze the field of digital humanities and digital humanities as a transformative practice.	aarseth1997 | alexander2006 | balsamo2000 | blackwell2004 | burnard2002 | busa2004 | dhq2007 | drucker2004 | flanders2002 | hockey2004 | humanist60357 | humanist60362 | humanist17111 | humanist18001 | humanist18615 | humanist19052 | humanist21436 | humanist21469 | jessop2007 | juola2008 | kiernan1991 | kirschenbaum2004 | klein1996 | knorr1999 | llc232 | llc233 | llc234 | llc241 | mccarty1996 | mccarty2005 | mccarty | mcgann2001 | mcgann2004 | mcgann2006 | ratto2006 | renear2004 | rockwell2002 | rockwell2003 | rockwell2004 | schreibman2004 | desmedt2002 | sterne2006 | terras2006 | witmore2006 | zweig1998	1	
000066	Sandifer, Philip	2009	Avatari: Disruption and Imago in Video Games	Digital Humanities Quarterly	This article offers an analysis of the video game in terms of the experience of gameplay, starting with the concept of the avatar, which is central to all video games. The avatar is typically described as our second self in the virtual world of the game. The paper challenges this theory, suggesting that the avatar is better understood as a set of possible interactions, and proposes a second concept, the avatari. If the avatar is our second self, the avatari is the rebellious figure on the screen that we cannot quite control, and that jumps into the pit, gets hit by the enemy, or otherwise fails despite our best efforts to succeed. Conceptualizing video games in terms of the avatar and avatari enables thinking about video games via a more sophisticated and productive model of interactivity than many of the existing paradigms.	aarseth1997 | aarseth2004 | bolter2003 | booth1983 | breukelaar2002 | duguid1996 | evans1996 | heidegger1996 | klein1975 | kucklichs2007 | lacan2004 | lara | manovich2001 | mcluhan1994 | morabito1986 | murray1997 | norman1988 | rabinowitz1998 | rehak2003 | ryan2001 | stephenson2000 | turkle2005 | wark2004 | wark2007 | williams1997 | zizek2004	1	
000067	Ruecker, Stan | Radzikowska, Milena | Sinclair, Stéfan	2009	Designing Data Mining Droplets: New Interface Objects for the Humanities Scholar	Digital Humanities Quarterly	In this paper, we describe the design of a number of alternative interface droplets that are intended for use by humanities scholars interested in applying data mining and information visualization tools to the task of hypothesis formulation. The trained droplets provide several functions. Their primary purpose is to encapsulate the results of the software training phase. They can be saved for future re-use against other collections or combinations of collections. They can be modified by having the user accept or reject features identified by the data mining software. Finally, they can also contain choices for how to display and organize items in the collection. The opportunity to develop a new interface object presents the designer with the challenge of effectively communicating what the tool is good for and how it is used. This paper outlines the design process we followed in creating the visual representations of these interface objects, describes the communicative strengths and weaknesses of a number of alternative designs, and discusses the importance of the study of new interface objects as the means of providing the user with new interface affordances.	bederson2001 | bumgardner2005 | dillon2001 | feldman1997 | gibson1979 | hascoët1998 | hockey2000 | horn1998 | horton | karvonen2000 | kirschenbaum | nielsen2000 | pirolli1996 | plaisant2004 | ramsay | ramsay2003 | rodden2001 | ruecker2006 | ruecker2005 | ruecker2003 | shneiderman2001 | small1996 | unsworth2005 | unsworth2004 | vicente2002 | weiss2005	1	
000068	Zöllner-Weber, Amélie	2010	Ontologies and Logic Reasoning as Tools in Humanities?	Digital Humanities Quarterly	In this article, we evaluate approaches using logic reasoning applied to an ontology for literary characters. The inference tool Racer and the programming language Prolog were tested and compared to see if they can serve as a computer assisted approach in this scenario. Both offer options to draw inferences, but the usage requests a good comprehension of logics. Intuitive and individual queries are also difficult to produce with solely logic constructs. Furthermore, information in humanities is often vague, ambiguous, or even contradictory. Solving such problems by logic reasoning which is simply based on true or false conclusions will become challenging and might exceed the limits of logic reasoning. At the moment, to the author’s knowledge, only few such approaches, especially in literature studies, have been published. Existing approaches show promising results in modelling information in humanities. Therefore, further research should be directed to make ontologies and further approaches like logic reasoning even more popular and applicable in the humanities and literature studies.	antoniou2003 | baader2003a | baader2003b | benjamins1999 | berthold2003 | charniak1985 | cimiano2006 | farrar2002 | fisher2006 | gomez2004 | greimas1971 | gruber1993 | haarslev2004 | halpern2005 | jannidis2004 | lungen2007 | mccarty2005 | meister1999 | nardi2003 | nieragden1995 | noy1997 | noy2001 | noy2003 | pl1991 | propp1968 | puppe2000 | racer2005 | renear2006 | shirky2005 | sirin2007 | smith2007 | stevens2000 | tsarkov2006 | veltman2004 | ziegler2004 | zw2006a | zw2006b | zw2007a | zw2007b | zw2008	1	
000069	Kraus, Kari	2010	Conjectural Criticism: Computing Past and Future Texts	Digital Humanities Quarterly	Broadly conceived, this article re-imagines the role of conjecture in textual scholarship at a time when computers are increasingly pressed into service as tools of reconstruction and forecasting. Examples of conjecture include the recovery of lost readings in classical texts, and the computational modeling of the evolution of a literary work or the descent of a natural language. Conjectural criticism is thus concerned with issues of transmission, transformation, and prediction. It has ancient parallels in divination and modern parallels in the comparative methods of historical linguistics and evolutionary biology. The article develops a computational model of textuality, one that better supports conjectural reasoning, as a counterweight to the pictorial model of textuality that now predominates in the field of textual scholarship. Computation is here broadly understood to mean the manipulation of discrete units of information, which, in the case of language, entails the grammatical processing of strings rather than the mathematical calculation of numbers to create puns, anagrams, word ladders, and other word games. The article thus proposes that a textual scholar endeavoring to recover a prior version of a text, a diviner attempting to decipher an oracle by signs, and a poet exploiting the combinatorial play of language collectively draw on the same library of semiotic operations, which are amenable to algorithmic expression. The intended audience for the article includes textual scholars, specialists in the digital humanities and new media, and others interested in the technology of the written word and the emerging field of biohumanities.	abrams1953 | aitchison2003 | bell1999 | bentley1732 | berg2001 | borgman2007 | bottero2001 | cameron | carroll | ceruzzi2000 | darwin1871 | fishbane1989 | franklin2001 | goodman1976 | greg1924 | grier2005 | grivelet1956 | gross2001 | hall1913 | hoenigswald1963 | hoenigswald1987 | housman1921 | johnson1765 | jones1948 | kac1999 | kay2000 | kenney1974 | kirschenbaum2008 | kraus2002 | lanham1991 | mahood1957 | manetti1993 | mcgann1991 | mcleod1983 | nisbet1991 | ohara1993 | ohara1996 | oppenheim1964 | poole2002 | ramsay2003 | ramsay2007 | rye2003 | salemans1996 | searls2001 | steiner1998 | sewell1952 | spolsky2002 | stoppard1997 | tarrant | tedlock2000 | thacker2004 | thomas2007 | welsford1966 | woolfson2005	1	
